Tempo (s),Tensao (V)
0.000000,0.0000
0.000176,0.0000
0.000351,0.0000
0.000527,0.0000
0.000702,0.0000
0.000878,0.0000
0.001053,0.0000
0.001229,0.0000
0.001404,0.0000
0.001580,0.0000
0.001756,0.0000
0.001931,0.0000
0.002107,0.0000
0.002282,0.0000
0.002458,0.0000
0.002633,0.0000
0.002809,0.0000
0.002984,0.0000
0.003160,0.0000
0.003336,0.0000
0.003511,0.0000
0.003687,0.0000
0.003862,0.0000
0.004038,0.0000
0.004213,0.0000
0.004389,0.0000
0.004564,0.0000
0.004740,0.0000
0.004915,0.0000
0.005091,0.0000
0.005267,0.0000
0.005442,0.0000
0.005618,0.0000
0.005793,0.0000
0.005969,0.0000
0.006144,0.0000
0.006320,0.0000
0.006495,0.0000
0.006671,0.0000
0.006847,0.0000
0.007022,0.0000
0.007198,0.0000
0.007373,0.0000
0.007549,0.0000
0.007724,0.0000
0.007900,0.0000
0.008075,0.0000
0.008251,0.0000
0.008427,0.0000
0.008602,0.0000
0.008778,0.0000
0.008953,0.0000
0.009129,0.0000
0.009304,0.0000
0.009480,0.0000
0.009655,0.0000
0.009831,0.0000
0.010007,0.0000
0.010182,0.0000
0.010358,0.0000
0.010533,0.0000
0.010709,0.0000
0.010884,0.0000
0.011060,0.0000
0.011235,0.0000
0.011411,0.0000
0.011586,0.0000
0.011762,0.0000
0.011938,0.0000
0.012113,0.0000
0.012289,0.0000
0.012464,0.0000
0.012640,0.0000
0.012815,0.0000
0.012991,0.0000
0.013166,0.0000
0.013342,0.0000
0.013518,0.0000
0.013693,0.0000
0.013869,0.0000
0.014044,0.0000
0.014220,0.0000
0.014395,0.0000
0.014571,0.0000
0.014746,0.0000
0.014922,0.0000
0.015098,0.0000
0.015273,0.0000
0.015449,0.0000
0.015624,0.0000
0.015800,0.0000
0.015975,0.0000
0.016151,0.0000
0.016326,0.0000
0.016502,0.0000
0.016678,0.0000
0.016853,0.0000
0.017029,0.0000
0.017204,0.0000
0.017380,0.0000
0.017555,0.0000
0.017731,0.0000
0.017906,0.0000
0.018082,0.0000
0.018257,0.0000
0.018433,0.0000
0.018609,0.0000
0.018784,0.0000
0.018960,0.0000
0.019135,0.0000
0.019311,0.0000
0.019486,0.0000
0.019662,0.0000
0.019837,0.0000
0.020013,0.0000
0.020189,0.0000
0.020364,0.0000
0.020540,0.0000
0.020715,0.0000
0.020891,0.0000
0.021066,0.0000
0.021242,0.0000
0.021417,0.0000
0.021593,0.0000
0.021769,0.0000
0.021944,0.0000
0.022120,0.0000
0.022295,0.0000
0.022471,0.0000
0.022646,0.0000
0.022822,0.0000
0.022997,0.0000
0.023173,0.0000
0.023349,0.0000
0.023524,0.0000
0.023700,0.0000
0.023875,0.0000
0.024051,0.0000
0.024226,0.0000
0.024402,0.0000
0.024577,0.0000
0.024753,0.0000
0.024928,0.0000
0.025104,0.0000
0.025280,0.0000
0.025455,0.0000
0.025631,0.0000
0.025806,0.0000
0.025982,0.0000
0.026157,0.0000
0.026333,0.0000
0.026508,0.0000
0.026684,0.0580
0.026860,0.5036
0.027035,0.9618
0.027211,1.4223
0.027386,1.8841
0.027562,2.2901
0.027737,2.3086
0.027913,2.3146
0.028088,2.3175
0.028264,2.3187
0.028440,2.3178
0.028615,2.3166
0.028791,2.3140
0.028966,2.3136
0.029142,2.3138
0.029317,2.3145
0.029493,2.3163
0.029668,2.3181
0.029844,2.3199
0.030020,2.3207
0.030195,2.3218
0.030371,2.3209
0.030546,2.3215
0.030722,2.3212
0.030897,2.3201
0.031073,2.3194
0.031248,2.3202
0.031424,2.3200
0.031599,2.3195
0.031775,2.3205
0.031951,2.3200
0.032126,2.3199
0.032302,2.3177
0.032477,2.3170
0.032653,2.3175
0.032828,2.3180
0.033004,2.3198
0.033179,2.3227
0.033355,2.3237
0.033531,2.3187
0.033706,2.3177
0.033882,2.3140
0.034057,2.3130
0.034233,2.3136
0.034408,2.3164
0.034584,2.3158
0.034759,2.3166
0.034935,2.3166
0.035111,2.3158
0.035286,2.3173
0.035462,2.3168
0.035637,2.3167
0.035813,2.3173
0.035988,2.3137
0.036164,2.3145
0.036339,2.3170
0.036515,2.3177
0.036691,2.3182
0.036866,2.3195
0.037042,2.3211
0.037217,2.3215
0.037393,2.3225
0.037568,2.3236
0.037744,2.3278
0.037919,2.3285
0.038095,2.3305
0.038270,2.3320
0.038446,2.3325
0.038622,2.3322
0.038797,2.3310
0.038973,2.3292
0.039148,2.3283
0.039324,2.3284
0.039499,2.3284
0.039675,2.3297
0.039850,2.3301
0.040026,2.3309
0.040202,2.3322
0.040377,2.3329
0.040553,2.3339
0.040728,2.3346
0.040904,2.3356
0.041079,2.3358
0.041255,2.3379
0.041430,2.3412
0.041606,2.3432
0.041782,2.3450
0.041957,2.3456
0.042133,2.3451
0.042308,2.3425
0.042484,2.3437
0.042659,2.3434
0.042835,2.3455
0.043010,2.3463
0.043186,2.3447
0.043362,2.3440
0.043537,2.3431
0.043713,2.3410
0.043888,2.3405
0.044064,2.3408
0.044239,2.3405
0.044415,2.3410
0.044590,2.3422
0.044766,2.3433
0.044941,2.3433
0.045117,2.3424
0.045293,2.3420
0.045468,2.3382
0.045644,2.3367
0.045819,2.3370
0.045995,2.3363
0.046170,2.3357
0.046346,2.3390
0.046521,2.3390
0.046697,2.3382
0.046873,2.3383
0.047048,2.3397
0.047224,2.3366
0.047399,2.3360
0.047575,2.3366
0.047750,2.3370
0.047926,2.3354
0.048101,2.3343
0.048277,2.3345
0.048453,2.3337
0.048628,2.3331
0.048804,2.3325
0.048979,2.3338
0.049155,2.3335
0.049330,2.3334
0.049506,2.3338
0.049681,2.3338
0.049857,2.3345
0.050033,2.3315
0.050208,2.3317
0.050384,2.3313
0.050559,2.3317
0.050735,2.3329
0.050910,2.3363
0.051086,2.3381
0.051261,2.3387
0.051437,2.3394
0.051612,2.3396
0.051788,2.3394
0.051964,2.3396
0.052139,2.3392
0.052315,2.3391
0.052490,2.3395
0.052666,2.3398
0.052841,2.3380
0.053017,2.3382
0.053192,2.3388
0.053368,2.3378
0.053544,2.3381
0.053719,2.3387
0.053895,2.3397
0.054070,2.3403
0.054246,2.3413
0.054421,2.3407
0.054597,2.3416
0.054772,2.3409
