Tempo (s);Tensao (V)
0.00000;0.00000
0.00018;0.00000
0.00035;0.00000
0.00053;0.00000
0.00070;0.00000
0.00088;0.00000
0.00105;0.00000
0.00123;0.00000
0.00140;0.00000
0.00158;0.00000
0.00176;0.00000
0.00193;0.00000
0.00211;0.00000
0.00228;0.00000
0.00246;0.00129
0.00263;0.00129
0.00281;0.00129
0.00298;0.00166
0.00316;0.00166
0.00334;0.00037
0.00351;0.00037
0.00369;0.00037
0.00386;0.00024
0.00404;0.00024
0.00421;0.00066
0.00439;0.00066
0.00456;0.00071
0.00474;0.00097
0.00491;0.00109
0.00509;0.00066
0.00527;0.00095
0.00544;0.00113
0.00562;0.00081
0.00579;0.00077
0.00597;0.00177
0.00614;0.00183
0.00632;0.00237
0.00649;0.00235
0.00667;0.00299
0.00685;0.00301
0.00702;0.00360
0.00720;0.00364
0.00737;0.00586
0.00755;0.00563
0.00772;0.00573
0.00790;0.00535
0.00807;0.00627
0.00825;0.00555
0.00843;0.00686
0.00860;0.00707
0.00878;0.00834
0.00895;0.00796
0.00913;0.00725
0.00930;0.00703
0.00948;0.00768
0.00965;0.00684
0.00983;0.00736
0.01001;0.00890
0.01018;0.00981
0.01036;0.01075
0.01053;0.01297
0.01071;0.01225
0.01088;0.01167
0.01106;0.01391
0.01123;0.01256
0.01141;0.01190
0.01158;0.01267
0.01176;0.01356
0.01194;0.01058
0.01211;0.01215
0.01229;0.01289
0.01246;0.01309
0.01264;0.01376
0.01281;0.01574
0.01299;0.01577
0.01316;0.01617
0.01334;0.01736
0.01352;0.01748
0.01369;0.01762
0.01387;0.01850
0.01404;0.01960
0.01422;0.02141
0.01439;0.02172
0.01457;0.02195
0.01474;0.02202
0.01492;0.02214
0.01510;0.02192
0.01527;0.02316
0.01545;0.02407
0.01562;0.02498
0.01580;0.02537
0.01597;0.02589
0.01615;0.02617
0.01632;0.02627
0.01650;0.02643
0.01668;0.02476
0.01685;0.02488
0.01703;0.02420
0.01720;0.02450
0.01738;0.02536
0.01755;0.02729
0.01773;0.02600
0.01790;0.02433
0.01808;0.02314
0.01826;0.02377
0.01843;0.02518
0.01861;0.02733
0.01878;0.03194
0.01896;0.03423
0.01913;0.03390
0.01931;0.03329
0.01948;0.03306
0.01966;0.03246
0.01983;0.03262
0.02001;0.03359
0.02019;0.03361
0.02036;0.03426
0.02054;0.03356
0.02071;0.03298
0.02089;0.03265
0.02106;0.03186
0.02124;0.03174
0.02141;0.03247
0.02159;0.03336
0.02177;0.03306
0.02194;0.03345
0.02212;0.03440
0.02229;0.03422
0.02247;0.03434
0.02264;0.03414
0.02282;0.03522
0.02299;0.03442
0.02317;0.03532
0.02335;0.03643
0.02352;0.03685
0.02370;0.03667
0.02387;0.03825
0.02405;0.03726
0.02422;0.03706
0.02440;0.03889
0.02457;0.04016
0.02475;0.03997
0.02493;0.04035
0.02510;0.04159
0.02528;0.04088
0.02545;0.03996
0.02563;0.04015
0.02580;0.04199
0.02598;0.04154
0.02615;0.04304
0.02633;0.04386
0.02650;0.04448
0.02668;0.04396
0.02686;0.04382
0.02703;0.04323
0.02721;0.04364
0.02738;0.04324
0.02756;0.04315
0.02773;0.04200
0.02791;0.04100
0.02808;0.04110
0.02826;0.04163
0.02844;0.04171
0.02861;0.04439
0.02879;0.04544
0.02896;0.04651
0.02914;0.04693
0.02931;0.04785
0.02949;0.04709
0.02966;0.04958
0.02984;0.04990
0.03002;0.05096
0.03019;0.05149
0.03037;0.05155
0.03054;0.05026
0.03072;0.05073
0.03089;0.05001
0.03107;0.04860
0.03124;0.04911
0.03142;0.04901
0.03160;0.04759
0.03177;0.04717
0.03195;0.04884
0.03212;0.04741
0.03230;0.04733
0.03247;0.04835
0.03265;0.04907
0.03282;0.04926
0.03300;0.04781
0.03318;0.04806
0.03335;0.04846
0.03353;0.04851
0.03370;0.04741
0.03388;0.05165
0.03405;0.05225
0.03423;0.05406
0.03440;0.05548
0.03458;0.05684
0.03475;0.05609
0.03493;0.05575
0.03511;0.05476
0.03528;0.05371
0.03546;0.05358
0.03563;0.05381
0.03581;0.05420
0.03598;0.05485
0.03616;0.05427
0.03633;0.05419
0.03651;0.05566
0.03669;0.05876
0.03686;0.05758
0.03704;0.05852
0.03721;0.05942
0.03739;0.06177
0.03756;0.05873
0.03774;0.05933
0.03791;0.05971
0.03809;0.05925
0.03827;0.05483
0.03844;0.05372
0.03862;0.05432
0.03879;0.05434
0.03897;0.05510
0.03914;0.05539
0.03932;0.05893
0.03949;0.05867
0.03967;0.05863
0.03985;0.05845
0.04002;0.06004
0.04020;0.05907
0.04037;0.05652
0.04055;0.05597
0.04072;0.05616
0.04090;0.05682
0.04107;0.05719
0.04125;0.05952
0.04142;0.06116
0.04160;0.06167
0.04178;0.06098
0.04195;0.05743
0.04213;0.05848
0.04230;0.05780
0.04248;0.05769
0.04265;0.05769
0.04283;0.06107
0.04300;0.06068
0.04318;0.06120
0.04336;0.06069
0.04353;0.06133
0.04371;0.06157
0.04388;0.06195
0.04406;0.06193
0.04423;0.06317
0.04441;0.06377
0.04458;0.06482
0.04476;0.06502
0.04494;0.06529
0.04511;0.06497
0.04529;0.06417
0.04546;0.06413
0.04564;0.06528
0.04581;0.06883
0.04599;0.07013
0.04616;0.07019
0.04634;0.06981
0.04652;0.06967
0.04669;0.06647
0.04687;0.06507
0.04704;0.06494
0.04722;0.06397
0.04739;0.06461
0.04757;0.06493
0.04774;0.06617
0.04792;0.06699
0.04809;0.06741
0.04827;0.06649
0.04845;0.06810
0.04862;0.06790
0.04880;0.06795
0.04897;0.06860
0.04915;0.06874
0.04932;0.06632
0.04950;0.06768
0.04967;0.06736
0.04985;0.06984
0.05003;0.07043
0.05020;0.07146
0.05038;0.07058
0.05055;0.07086
0.05073;0.06852
0.05090;0.06779
0.05108;0.06730
0.05125;0.06716
0.05143;0.06615
0.05161;0.06546
0.05178;0.06557
0.05196;0.06838
0.05213;0.06747
0.05231;0.06898
0.05248;0.07201
0.05266;0.07050
0.05283;0.06815
0.05301;0.06857
0.05319;0.06759
0.05336;0.06369
0.05354;0.06528
0.05371;0.06630
0.05389;0.06684
0.05406;0.06749
0.05424;0.06767
0.05441;0.07015
0.05459;0.06825
0.05477;0.06894
0.05494;0.06939
0.05512;0.07103
0.05529;0.06844
0.05547;0.06975
0.05564;0.06911
0.05582;0.06987
0.05599;0.06939
0.05617;0.06996
0.05634;0.06820
0.05652;0.06864
0.05670;0.06789
0.05687;0.06799
0.05705;0.06793
0.05722;0.06942
0.05740;0.07096
0.05757;0.07147
0.05775;0.07275
0.05792;0.07274
0.05810;0.07531
0.05828;0.07475
0.05845;0.07407
0.05863;0.07409
0.05880;0.07650
0.05898;0.07530
0.05915;0.07651
0.05933;0.07794
0.05950;0.07837
0.05968;0.07208
0.05986;0.07186
0.06003;0.07036
0.06021;0.07423
0.06038;0.07389
0.06056;0.07681
0.06073;0.07749
0.06091;0.07756
0.06108;0.07495
0.06126;0.07444
0.06144;0.07673
0.06161;0.07624
0.06179;0.07718
0.06196;0.07520
0.06214;0.07498
0.06231;0.07478
0.06249;0.07539
0.06266;0.07594
0.06284;0.07785
0.06301;0.07780
0.06319;0.07840
0.06337;0.07824
0.06354;0.07842
0.06372;0.07783
0.06389;0.07958
0.06407;0.07940
0.06424;0.07987
0.06442;0.07864
0.06459;0.07848
0.06477;0.07786
0.06495;0.07790
0.06512;0.07720
0.06530;0.07046
0.06547;0.07086
0.06565;0.07088
0.06582;0.07093
0.06600;0.07146
0.06617;0.07865
0.06635;0.07683
0.06653;0.07724
0.06670;0.07766
0.06688;0.07784
0.06705;0.07783
0.06723;0.08047
0.06740;0.08016
0.06758;0.07977
0.06775;0.08138
0.06793;0.08247
0.06811;0.08118
0.06828;0.08186
0.06846;0.08230
0.06863;0.07945
0.06881;0.07908
0.06898;0.08048
0.06916;0.08083
0.06933;0.08012
0.06951;0.08157
0.06969;0.08009
0.06986;0.07812
0.07004;0.07655
0.07021;0.07801
0.07039;0.07746
0.07056;0.07837
0.07074;0.07954
0.07091;0.08033
0.07109;0.07948
0.07126;0.07910
0.07144;0.07991
0.07162;0.07973
0.07179;0.08004
0.07197;0.08116
0.07214;0.08155
0.07232;0.08050
0.07249;0.08028
0.07267;0.08104
0.07284;0.08131
0.07302;0.08345
0.07320;0.08184
0.07337;0.08178
0.07355;0.08073
0.07372;0.08023
0.07390;0.08116
0.07407;0.08380
0.07425;0.08574
0.07442;0.08590
0.07460;0.08502
0.07478;0.08323
0.07495;0.08002
0.07513;0.07892
0.07530;0.07972
0.07548;0.07930
0.07565;0.07684
0.07583;0.08071
0.07600;0.08318
0.07618;0.08210
0.07636;0.08134
0.07653;0.08311
0.07671;0.08175
0.07688;0.07767
0.07706;0.07833
0.07723;0.07982
0.07741;0.08018
0.07758;0.08109
0.07776;0.08257
0.07793;0.08324
0.07811;0.08378
0.07829;0.08439
0.07846;0.08384
0.07864;0.08408
0.07881;0.08161
0.07899;0.08120
0.07916;0.08077
0.07934;0.08027
0.07951;0.08043
0.07969;0.08156
