Tempo (s),Tensao (V)
0.000000,0.0000
0.000176,0.0000
0.000351,0.0000
0.000527,0.0000
0.000702,0.0000
0.000878,0.0000
0.001053,0.0000
0.001229,0.0000
0.001404,0.0000
0.001580,0.0000
0.001755,0.0000
0.001931,0.0000
0.002106,0.0000
0.002282,0.0000
0.002457,0.0000
0.002633,0.0000
0.002808,0.0000
0.002984,0.0000
0.003160,0.0000
0.003335,0.0000
0.003511,0.0000
0.003686,0.0000
0.003862,0.0000
0.004037,0.0000
0.004213,0.0000
0.004388,0.0000
0.004564,0.0000
0.004739,0.0000
0.004915,0.0000
0.005090,0.0000
0.005266,0.0000
0.005441,0.0000
0.005617,0.0000
0.005792,0.0000
0.005968,0.0000
0.006144,0.0000
0.006319,0.0000
0.006495,0.0000
0.006670,0.0000
0.006846,0.0000
0.007021,0.0000
0.007197,0.0000
0.007372,0.0000
0.007548,0.0000
0.007723,0.0000
0.007899,0.0000
0.008074,0.0000
0.008250,0.0000
0.008425,0.0000
0.008601,0.0000
0.008776,0.0000
0.008952,0.0000
0.009128,0.0000
0.009303,0.0000
0.009479,0.0000
0.009654,0.0000
0.009830,0.0000
0.010005,0.0000
0.010181,0.0000
0.010356,0.0000
0.010532,0.0000
0.010707,0.0000
0.010883,0.0000
0.011058,0.0000
0.011234,0.0000
0.011409,0.0000
0.011585,0.0000
0.011760,0.0000
0.011936,0.0000
0.012112,0.0000
0.012287,0.0000
0.012463,0.0000
0.012638,0.0000
0.012814,0.0000
0.012989,0.0000
0.013165,0.0000
0.013340,0.0000
0.013516,0.0000
0.013691,0.0000
0.013867,0.0000
0.014042,0.0000
0.014218,0.0000
0.014393,0.0000
0.014569,0.0000
0.014744,0.0000
0.014920,0.0000
0.015096,0.0000
0.015271,0.0000
0.015447,0.0000
0.015622,0.0000
0.015798,0.0000
0.015973,0.0000
0.016149,0.0000
0.016324,0.0000
0.016500,0.0000
0.016675,0.0000
0.016851,0.0000
0.017026,0.0000
0.017202,0.0000
0.017377,0.0000
0.017553,0.0000
0.017728,0.0000
0.017904,0.0000
0.018080,0.0000
0.018255,0.0000
0.018431,0.0000
0.018606,0.0000
0.018782,0.0000
0.018957,0.0000
0.019133,0.0000
0.019308,0.0000
0.019484,0.0000
0.019659,0.0000
0.019835,0.0000
0.020010,0.0000
0.020186,0.0000
0.020361,0.0000
0.020537,0.0000
0.020712,0.0000
0.020888,0.0000
0.021064,0.0000
0.021239,0.0000
0.021415,0.0000
0.021590,0.0000
0.021766,0.0000
0.021941,0.0000
0.022117,0.0000
0.022292,0.0000
0.022468,0.0000
0.022643,0.0000
0.022819,0.0000
0.022994,0.0000
0.023170,0.0000
0.023345,0.0000
0.023521,0.0000
0.023696,0.0000
0.023872,0.0000
0.024047,0.0000
0.024223,0.0000
0.024399,0.0000
0.024574,0.0000
0.024750,0.0000
0.024925,0.0000
0.025101,0.0000
0.025276,0.0000
0.025452,0.0000
0.025627,0.0000
0.025803,0.0000
0.025978,0.0000
0.026154,0.0000
0.026329,0.0000
0.026505,0.0000
0.026680,0.0000
0.026856,0.0000
0.027031,0.0000
0.027207,0.0000
0.027383,0.0000
0.027558,0.0000
0.027734,0.0000
0.027909,0.0000
0.028085,0.0000
0.028260,0.0000
0.028436,0.0000
0.028611,0.0000
0.028787,0.0000
0.028962,0.0000
0.029138,0.0000
0.029313,0.0000
0.029489,0.0000
0.029664,0.0000
0.029840,0.0661
0.030015,0.1609
0.030191,0.2588
0.030367,0.3593
0.030542,0.4639
0.030718,0.5032
0.030893,0.5166
0.031069,0.5311
0.031244,0.5440
0.031420,0.5573
0.031595,0.5711
0.031771,0.5823
0.031946,0.5917
0.032122,0.6026
0.032297,0.6124
0.032473,0.6255
0.032648,0.6389
0.032824,0.6514
0.032999,0.6622
0.033175,0.6733
0.033351,0.6807
0.033526,0.6893
0.033702,0.6984
0.033877,0.7081
0.034053,0.7164
0.034228,0.7260
0.034404,0.7359
0.034579,0.7453
0.034755,0.7536
0.034930,0.7632
0.035106,0.7710
0.035281,0.7798
0.035457,0.7884
0.035632,0.7974
0.035808,0.8048
0.035983,0.8127
0.036159,0.8186
0.036335,0.8247
0.036510,0.8314
0.036686,0.8374
0.036861,0.8433
0.037037,0.8496
0.037212,0.8564
0.037388,0.8619
0.037563,0.8689
0.037739,0.8758
0.037914,0.8819
0.038090,0.8890
0.038265,0.8957
0.038441,0.9022
0.038616,0.9047
0.038792,0.9126
0.038967,0.9179
0.039143,0.9246
0.039319,0.9300
0.039494,0.9394
0.039670,0.9440
0.039845,0.9492
0.040021,0.9549
0.040196,0.9601
0.040372,0.9659
0.040547,0.9706
0.040723,0.9762
0.040898,0.9808
0.041074,0.9852
0.041249,0.9891
0.041425,0.9944
0.041600,0.9992
0.041776,1.0035
0.041951,1.0085
0.042127,1.0131
0.042303,1.0175
0.042478,1.0215
0.042654,1.0231
0.042829,1.0273
0.043005,1.0313
0.043180,1.0355
0.043356,1.0387
0.043531,1.0462
0.043707,1.0514
0.043882,1.0566
0.044058,1.0590
0.044233,1.0666
0.044409,1.0706
0.044584,1.0752
0.044760,1.0799
0.044935,1.0862
0.045111,1.0909
0.045287,1.0922
0.045462,1.0945
0.045638,1.0966
0.045813,1.0998
0.045989,1.1013
0.046164,1.1065
0.046340,1.1106
0.046515,1.1166
0.046691,1.1197
0.046866,1.1223
0.047042,1.1269
0.047217,1.1299
0.047393,1.1304
0.047568,1.1338
0.047744,1.1362
0.047919,1.1386
0.048095,1.1420
0.048271,1.1459
0.048446,1.1488
0.048622,1.1522
0.048797,1.1549
0.048973,1.1572
0.049148,1.1591
0.049324,1.1625
0.049499,1.1660
0.049675,1.1685
0.049850,1.1722
0.050026,1.1760
0.050201,1.1779
0.050377,1.1803
0.050552,1.1843
0.050728,1.1872
0.050903,1.1907
0.051079,1.1933
0.051255,1.1938
0.051430,1.1955
0.051606,1.1970
0.051781,1.1980
0.051957,1.2005
0.052132,1.2034
0.052308,1.2071
0.052483,1.2096
0.052659,1.2128
0.052834,1.2164
0.053010,1.2199
0.053185,1.2223
0.053361,1.2272
0.053536,1.2289
0.053712,1.2300
0.053887,1.2299
0.054063,1.2303
0.054239,1.2302
0.054414,1.2322
0.054590,1.2341
0.054765,1.2397
