Tempo (s),Tensao (V)
0.000000,0.0000
0.000176,0.0000
0.000351,0.0000
0.000527,0.0000
0.000702,0.0000
0.000878,0.0000
0.001053,0.0000
0.001229,0.0000
0.001405,0.0000
0.001580,0.0000
0.001756,0.0000
0.001931,0.0000
0.002107,0.0000
0.002282,0.0000
0.002458,0.0000
0.002634,0.0000
0.002809,0.0000
0.002985,0.0000
0.003160,0.0000
0.003336,0.0000
0.003511,0.0000
0.003687,0.0000
0.003863,0.0000
0.004038,0.0000
0.004214,0.0000
0.004389,0.0000
0.004565,0.0000
0.004740,0.0000
0.004916,0.0000
0.005092,0.0000
0.005267,0.0000
0.005443,0.0000
0.005618,0.0000
0.005794,0.0000
0.005969,0.0000
0.006145,0.0000
0.006321,0.0000
0.006496,0.0000
0.006672,0.0000
0.006847,0.0000
0.007023,0.0000
0.007198,0.0000
0.007374,0.0000
0.007550,0.0000
0.007725,0.0000
0.007901,0.0000
0.008076,0.0000
0.008252,0.0000
0.008427,0.0000
0.008603,0.0000
0.008779,0.0000
0.008954,0.0000
0.009130,0.0000
0.009305,0.0000
0.009481,0.0000
0.009656,0.0000
0.009832,0.0000
0.010008,0.0000
0.010183,0.0000
0.010359,0.0000
0.010534,0.0000
0.010710,0.0000
0.010885,0.0000
0.011061,0.0000
0.011237,0.0000
0.011412,0.0000
0.011588,0.0000
0.011763,0.0000
0.011939,0.0000
0.012115,0.0000
0.012290,0.0000
0.012466,0.0000
0.012641,0.0000
0.012817,0.0000
0.012992,0.0000
0.013168,0.0000
0.013344,0.0000
0.013519,0.0000
0.013695,0.0000
0.013870,0.0000
0.014046,0.0000
0.014221,0.0000
0.014397,0.0000
0.014573,0.0000
0.014748,0.0000
0.014924,0.0000
0.015099,0.0000
0.015275,0.0000
0.015450,0.0000
0.015626,0.0000
0.015802,0.0000
0.015977,0.0000
0.016153,0.0000
0.016328,0.0000
0.016504,0.0000
0.016679,0.0000
0.016855,0.0000
0.017031,0.0000
0.017206,0.0102
0.017382,0.0207
0.017557,0.0372
0.017733,0.0562
0.017908,0.0776
0.018084,0.0903
0.018260,0.1046
0.018435,0.1138
0.018611,0.1193
0.018786,0.1255
0.018962,0.1273
0.019137,0.1322
0.019313,0.1361
0.019489,0.1418
0.019664,0.1463
0.019840,0.1535
0.020015,0.1556
0.020191,0.1595
0.020366,0.1664
0.020542,0.1708
0.020718,0.1742
0.020893,0.1795
0.021069,0.1849
0.021244,0.1860
0.021420,0.1886
0.021595,0.1927
0.021771,0.1965
0.021947,0.1997
0.022122,0.2033
0.022298,0.2089
0.022473,0.2127
0.022649,0.2188
0.022824,0.2222
0.023000,0.2258
0.023176,0.2273
0.023351,0.2308
0.023527,0.2310
0.023702,0.2340
0.023878,0.2366
0.024053,0.2402
0.024229,0.2439
0.024405,0.2439
0.024580,0.2473
0.024756,0.2509
0.024931,0.2544
0.025107,0.2584
0.025282,0.2655
0.025458,0.2687
0.025634,0.2721
0.025809,0.2746
0.025985,0.2775
0.026160,0.2799
0.026336,0.2818
0.026511,0.2845
0.026687,0.2841
0.026863,0.2849
0.027038,0.2874
0.027214,0.2970
0.027389,0.3007
0.027565,0.3068
0.027740,0.3111
0.027916,0.3137
0.028092,0.3108
0.028267,0.3121
0.028443,0.3135
0.028618,0.3126
0.028794,0.3137
0.028969,0.3165
0.029145,0.3194
0.029321,0.3232
0.029496,0.3289
0.029672,0.3335
0.029847,0.3349
0.030023,0.3374
0.030198,0.3394
0.030374,0.3414
0.030550,0.3431
0.030725,0.3451
0.030901,0.3503
0.031076,0.3521
0.031252,0.3543
0.031427,0.3567
0.031603,0.3591
0.031779,0.3572
0.031954,0.3607
0.032130,0.3632
0.032305,0.3656
0.032481,0.3642
0.032656,0.3673
0.032832,0.3688
0.033008,0.3711
0.033183,0.3731
0.033359,0.3783
0.033534,0.3796
0.033710,0.3813
0.033885,0.3837
0.034061,0.3846
0.034237,0.3871
0.034412,0.3893
0.034588,0.3893
0.034763,0.3913
0.034939,0.3961
0.035115,0.3968
0.035290,0.3979
0.035466,0.3998
0.035641,0.3989
0.035817,0.4033
0.035992,0.4051
0.036168,0.4059
0.036344,0.4071
0.036519,0.4090
0.036695,0.4041
0.036870,0.4038
0.037046,0.4054
0.037221,0.4066
0.037397,0.4079
0.037573,0.4095
0.037748,0.4115
0.037924,0.4124
0.038099,0.4139
0.038275,0.4145
0.038450,0.4155
0.038626,0.4161
0.038802,0.4179
0.038977,0.4192
0.039153,0.4186
0.039328,0.4198
0.039504,0.4219
0.039679,0.4236
0.039855,0.4249
0.040031,0.4288
0.040206,0.4296
0.040382,0.4306
0.040557,0.4312
0.040733,0.4333
0.040908,0.4340
0.041084,0.4356
0.041260,0.4384
0.041435,0.4396
0.041611,0.4426
0.041786,0.4442
0.041962,0.4456
0.042137,0.4451
0.042313,0.4430
0.042489,0.4419
0.042664,0.4424
0.042840,0.4447
0.043015,0.4442
0.043191,0.4491
0.043366,0.4495
0.043542,0.4522
0.043718,0.4530
0.043893,0.4556
0.044069,0.4566
0.044244,0.4580
0.044420,0.4580
0.044595,0.4581
0.044771,0.4589
0.044947,0.4597
0.045122,0.4605
0.045298,0.4622
0.045473,0.4631
0.045649,0.4653
0.045824,0.4661
0.046000,0.4681
0.046176,0.4680
0.046351,0.4698
0.046527,0.4671
0.046702,0.4687
0.046878,0.4697
0.047053,0.4719
0.047229,0.4727
0.047405,0.4773
0.047580,0.4787
0.047756,0.4785
0.047931,0.4781
0.048107,0.4794
0.048282,0.4795
0.048458,0.4818
0.048634,0.4830
0.048809,0.4854
0.048985,0.4857
0.049160,0.4860
0.049336,0.4855
0.049511,0.4851
0.049687,0.4842
0.049863,0.4825
0.050038,0.4827
0.050214,0.4826
0.050389,0.4842
0.050565,0.4855
0.050740,0.4867
0.050916,0.4872
0.051092,0.4865
0.051267,0.4863
0.051443,0.4857
0.051618,0.4870
0.051794,0.4870
0.051969,0.4875
0.052145,0.4885
0.052321,0.4894
0.052496,0.4900
0.052672,0.4912
0.052847,0.4921
0.053023,0.4921
0.053198,0.4929
0.053374,0.4931
0.053550,0.4940
0.053725,0.4940
0.053901,0.4946
0.054076,0.4951
0.054252,0.4964
0.054427,0.4969
0.054603,0.5009
0.054779,0.5016
