Tempo (s),Tensao (V)
0.000000,0.0000
0.000176,0.0000
0.000351,0.0000
0.000527,0.0000
0.000702,0.0000
0.000878,0.0000
0.001053,0.0000
0.001229,0.0000
0.001404,0.0000
0.001580,0.0000
0.001755,0.0000
0.001931,0.0000
0.002106,0.0000
0.002282,0.0000
0.002458,0.0000
0.002633,0.0000
0.002809,0.0000
0.002984,0.0000
0.003160,0.0000
0.003335,0.0000
0.003511,0.0000
0.003686,0.0000
0.003862,0.0000
0.004037,0.0000
0.004213,0.0000
0.004388,0.0000
0.004564,0.0000
0.004740,0.0000
0.004915,0.0000
0.005091,0.0000
0.005266,0.0000
0.005442,0.0000
0.005617,0.0000
0.005793,0.0000
0.005968,0.0000
0.006144,0.0000
0.006319,0.0000
0.006495,0.0000
0.006670,0.0000
0.006846,0.0000
0.007022,0.0000
0.007197,0.0000
0.007373,0.0000
0.007548,0.0000
0.007724,0.0000
0.007899,0.0000
0.008075,0.0000
0.008250,0.0000
0.008426,0.0000
0.008601,0.0000
0.008777,0.0000
0.008952,0.0000
0.009128,0.0000
0.009304,0.0000
0.009479,0.0000
0.009655,0.0000
0.009830,0.0000
0.010006,0.0000
0.010181,0.0000
0.010357,0.0000
0.010532,0.0000
0.010708,0.0000
0.010883,0.0000
0.011059,0.0000
0.011234,0.0000
0.011410,0.0000
0.011586,0.0000
0.011761,0.0000
0.011937,0.0000
0.012112,0.0000
0.012288,0.0000
0.012463,0.0000
0.012639,0.0000
0.012814,0.0000
0.012990,0.0000
0.013165,0.0000
0.013341,0.0000
0.013516,0.0000
0.013692,0.0000
0.013867,0.0000
0.014043,0.0000
0.014219,0.0000
0.014394,0.0000
0.014570,0.0000
0.014745,0.0000
0.014921,0.0000
0.015096,0.0000
0.015272,0.0000
0.015447,0.0000
0.015623,0.0000
0.015798,0.0000
0.015974,0.0000
0.016149,0.0000
0.016325,0.0000
0.016501,0.0000
0.016676,0.0000
0.016852,0.0000
0.017027,0.0000
0.017203,0.0000
0.017378,0.0000
0.017554,0.0000
0.017729,0.0000
0.017905,0.0000
0.018080,0.0000
0.018256,0.0000
0.018431,0.0000
0.018607,0.0000
0.018783,0.0000
0.018958,0.0000
0.019134,0.0000
0.019309,0.0000
0.019485,0.0000
0.019660,0.0000
0.019836,0.0000
0.020011,0.0000
0.020187,0.0000
0.020362,0.0000
0.020538,0.0000
0.020713,0.0000
0.020889,0.0000
0.021065,0.0000
0.021240,0.0000
0.021416,0.0000
0.021591,0.0000
0.021767,0.0000
0.021942,0.0000
0.022118,0.0000
0.022293,0.0000
0.022469,0.0000
0.022644,0.0000
0.022820,0.0000
0.022995,0.0000
0.023171,0.0000
0.023347,0.0000
0.023522,0.0000
0.023698,0.0000
0.023873,0.0000
0.024049,0.0000
0.024224,0.0000
0.024400,0.0000
0.024575,0.0000
0.024751,0.0000
0.024926,0.0000
0.025102,0.0000
0.025277,0.0000
0.025453,0.0000
0.025629,0.0000
0.025804,0.0000
0.025980,0.0000
0.026155,0.0000
0.026331,0.0000
0.026506,0.0000
0.026682,0.0000
0.026857,0.0000
0.027033,0.0000
0.027208,0.0000
0.027384,0.0000
0.027559,0.0000
0.027735,0.0000
0.027911,0.0000
0.028086,0.0000
0.028262,0.0000
0.028437,0.0000
0.028613,0.0000
0.028788,0.0000
0.028964,0.0000
0.029139,0.0000
0.029315,0.0000
0.029490,0.0000
0.029666,0.0000
0.029841,0.0000
0.030017,0.0000
0.030193,0.0006
0.030368,0.0025
0.030544,0.0080
0.030719,0.0151
0.030895,0.0220
0.031070,0.0282
0.031246,0.0342
0.031421,0.0372
0.031597,0.0369
0.031772,0.0382
0.031948,0.0428
0.032123,0.0434
0.032299,0.0444
0.032475,0.0442
0.032650,0.0449
0.032826,0.0431
0.033001,0.0446
0.033177,0.0456
0.033352,0.0484
0.033528,0.0502
0.033703,0.0521
0.033879,0.0508
0.034054,0.0500
0.034230,0.0523
0.034405,0.0546
0.034581,0.0555
0.034757,0.0585
0.034932,0.0618
0.035108,0.0627
0.035283,0.0628
0.035459,0.0636
0.035634,0.0662
0.035810,0.0667
0.035985,0.0695
0.036161,0.0721
0.036336,0.0743
0.036512,0.0754
0.036687,0.0775
0.036863,0.0785
0.037039,0.0781
0.037214,0.0792
0.037390,0.0807
0.037565,0.0795
0.037741,0.0795
0.037916,0.0833
0.038092,0.0830
0.038267,0.0848
0.038443,0.0905
0.038618,0.0906
0.038794,0.0912
0.038969,0.0942
0.039145,0.0963
0.039320,0.0969
0.039496,0.1001
0.039672,0.1005
0.039847,0.1014
0.040023,0.1013
0.040198,0.1007
0.040374,0.1000
0.040549,0.1008
0.040725,0.1002
0.040900,0.0999
0.041076,0.1010
0.041251,0.1024
0.041427,0.1030
0.041602,0.1052
0.041778,0.1065
0.041954,0.1077
0.042129,0.1090
0.042305,0.1103
0.042480,0.1121
0.042656,0.1133
0.042831,0.1153
0.043007,0.1162
0.043182,0.1172
0.043358,0.1178
0.043533,0.1188
0.043709,0.1208
0.043884,0.1216
0.044060,0.1233
0.044236,0.1245
0.044411,0.1253
0.044587,0.1250
0.044762,0.1289
0.044938,0.1285
0.045113,0.1279
0.045289,0.1288
0.045464,0.1299
0.045640,0.1275
0.045815,0.1284
0.045991,0.1285
0.046166,0.1297
0.046342,0.1301
0.046518,0.1323
0.046693,0.1326
0.046869,0.1344
0.047044,0.1351
0.047220,0.1344
0.047395,0.1353
0.047571,0.1362
0.047746,0.1380
0.047922,0.1371
0.048097,0.1380
0.048273,0.1386
0.048448,0.1397
0.048624,0.1391
0.048800,0.1392
0.048975,0.1399
0.049151,0.1391
0.049326,0.1394
0.049502,0.1401
0.049677,0.1418
0.049853,0.1420
0.050028,0.1429
0.050204,0.1434
0.050379,0.1442
0.050555,0.1460
0.050730,0.1492
0.050906,0.1505
0.051082,0.1529
0.051257,0.1542
0.051433,0.1550
0.051608,0.1542
0.051784,0.1548
0.051959,0.1569
0.052135,0.1559
0.052310,0.1573
0.052486,0.1600
0.052661,0.1612
0.052837,0.1638
0.053012,0.1686
0.053188,0.1681
0.053364,0.1678
0.053539,0.1689
0.053715,0.1660
0.053890,0.1637
0.054066,0.1649
0.054241,0.1644
0.054417,0.1631
0.054592,0.1628
0.054768,0.1638
