Tempo (s),Tensao (V)
0.000000,0.0000
0.000176,0.0000
0.000351,0.0000
0.000527,0.0000
0.000702,0.0000
0.000878,0.0000
0.001053,0.0000
0.001229,0.0000
0.001404,0.0000
0.001580,0.0000
0.001756,0.0000
0.001931,0.0000
0.002107,0.0000
0.002282,0.0000
0.002458,0.0000
0.002633,0.0000
0.002809,0.0000
0.002985,0.0000
0.003160,0.0000
0.003336,0.0000
0.003511,0.0000
0.003687,0.0000
0.003862,0.0000
0.004038,0.0000
0.004213,0.0000
0.004389,0.0000
0.004565,0.0000
0.004740,0.0000
0.004916,0.0000
0.005091,0.0000
0.005267,0.0000
0.005442,0.0000
0.005618,0.0000
0.005794,0.0000
0.005969,0.0000
0.006145,0.0000
0.006320,0.0000
0.006496,0.0000
0.006671,0.0000
0.006847,0.0000
0.007022,0.0000
0.007198,0.0000
0.007374,0.0000
0.007549,0.0000
0.007725,0.0000
0.007900,0.0000
0.008076,0.0000
0.008251,0.0000
0.008427,0.0000
0.008603,0.0000
0.008778,0.0000
0.008954,0.0000
0.009129,0.0000
0.009305,0.0000
0.009480,0.0000
0.009656,0.0000
0.009831,0.0000
0.010007,0.0000
0.010183,0.0000
0.010358,0.0000
0.010534,0.0000
0.010709,0.0000
0.010885,0.0000
0.011060,0.0000
0.011236,0.0000
0.011412,0.0000
0.011587,0.0000
0.011763,0.0000
0.011938,0.0000
0.012114,0.0000
0.012289,0.0000
0.012465,0.0000
0.012640,0.0000
0.012816,0.0000
0.012992,0.0000
0.013167,0.0000
0.013343,0.0000
0.013518,0.0000
0.013694,0.0000
0.013869,0.0000
0.014045,0.0000
0.014221,0.0000
0.014396,0.0000
0.014572,0.0000
0.014747,0.0000
0.014923,0.0000
0.015098,0.0000
0.015274,0.0000
0.015449,0.0000
0.015625,0.0000
0.015801,0.0000
0.015976,0.0000
0.016152,0.0000
0.016327,0.0000
0.016503,0.0000
0.016678,0.0000
0.016854,0.0000
0.017029,0.0000
0.017205,0.0000
0.017381,0.0000
0.017556,0.0000
0.017732,0.0000
0.017907,0.0000
0.018083,0.0000
0.018258,0.0076
0.018434,0.0191
0.018610,0.0319
0.018785,0.0442
0.018961,0.0590
0.019136,0.0657
0.019312,0.0715
0.019487,0.0753
0.019663,0.0814
0.019838,0.0830
0.020014,0.0863
0.020190,0.0872
0.020365,0.0887
0.020541,0.0896
0.020716,0.0938
0.020892,0.0964
0.021067,0.0978
0.021243,0.1011
0.021419,0.1031
0.021594,0.1052
0.021770,0.1078
0.021945,0.1114
0.022121,0.1136
0.022296,0.1161
0.022472,0.1180
0.022647,0.1205
0.022823,0.1228
0.022999,0.1252
0.023174,0.1287
0.023350,0.1301
0.023525,0.1329
0.023701,0.1352
0.023876,0.1374
0.024052,0.1384
0.024228,0.1416
0.024403,0.1432
0.024579,0.1461
0.024754,0.1490
0.024930,0.1528
0.025105,0.1546
0.025281,0.1559
0.025456,0.1570
0.025632,0.1581
0.025808,0.1576
0.025983,0.1598
0.026159,0.1582
0.026334,0.1610
0.026510,0.1639
0.026685,0.1659
0.026861,0.1697
0.027037,0.1767
0.027212,0.1784
0.027388,0.1800
0.027563,0.1834
0.027739,0.1840
0.027914,0.1868
0.028090,0.1889
0.028265,0.1907
0.028441,0.1926
0.028617,0.1940
0.028792,0.1947
0.028968,0.1960
0.029143,0.1981
0.029319,0.1999
0.029494,0.2020
0.029670,0.2037
0.029846,0.2057
0.030021,0.2068
0.030197,0.2089
0.030372,0.2096
0.030548,0.2122
0.030723,0.2133
0.030899,0.2157
0.031074,0.2174
0.031250,0.2202
0.031426,0.2210
0.031601,0.2238
0.031777,0.2237
0.031952,0.2254
0.032128,0.2270
0.032303,0.2294
0.032479,0.2312
0.032654,0.2357
0.032830,0.2384
0.033006,0.2399
0.033181,0.2411
0.033357,0.2424
0.033532,0.2420
0.033708,0.2411
0.033883,0.2425
0.034059,0.2439
0.034235,0.2444
0.034410,0.2466
0.034586,0.2493
0.034761,0.2501
0.034937,0.2502
0.035112,0.2511
0.035288,0.2522
0.035463,0.2533
0.035639,0.2547
0.035815,0.2566
0.035990,0.2582
0.036166,0.2590
0.036341,0.2589
0.036517,0.2601
0.036692,0.2612
0.036868,0.2620
0.037044,0.2634
0.037219,0.2652
0.037395,0.2660
0.037570,0.2677
0.037746,0.2697
0.037921,0.2707
0.038097,0.2717
0.038272,0.2731
0.038448,0.2728
0.038624,0.2733
0.038799,0.2747
0.038975,0.2756
0.039150,0.2768
0.039326,0.2785
0.039501,0.2799
0.039677,0.2803
0.039853,0.2812
0.040028,0.2826
0.040204,0.2838
0.040379,0.2850
0.040555,0.2857
0.040730,0.2855
0.040906,0.2903
0.041081,0.2900
0.041257,0.2905
0.041433,0.2928
0.041608,0.2972
0.041784,0.2992
0.041959,0.3005
0.042135,0.3015
0.042310,0.3023
0.042486,0.2970
0.042662,0.2933
0.042837,0.2947
0.043013,0.2957
0.043188,0.2961
0.043364,0.3021
0.043539,0.3024
0.043715,0.3035
0.043890,0.3049
0.044066,0.3054
0.044242,0.3052
0.044417,0.3064
0.044593,0.3073
0.044768,0.3072
0.044944,0.3079
0.045119,0.3093
0.045295,0.3107
0.045471,0.3119
0.045646,0.3138
0.045822,0.3153
0.045997,0.3165
0.046173,0.3177
0.046348,0.3189
0.046524,0.3199
0.046699,0.3185
0.046875,0.3193
0.047051,0.3198
0.047226,0.3203
0.047402,0.3212
0.047577,0.3246
0.047753,0.3256
0.047928,0.3255
0.048104,0.3268
0.048279,0.3272
0.048455,0.3266
0.048631,0.3282
0.048806,0.3290
0.048982,0.3295
0.049157,0.3296
0.049333,0.3325
0.049508,0.3325
0.049684,0.3329
0.049860,0.3347
0.050035,0.3327
0.050211,0.3316
0.050386,0.3321
0.050562,0.3331
0.050737,0.3320
0.050913,0.3359
0.051088,0.3366
0.051264,0.3370
0.051440,0.3375
0.051615,0.3390
0.051791,0.3401
0.051966,0.3403
0.052142,0.3408
0.052317,0.3402
0.052493,0.3405
0.052669,0.3403
0.052844,0.3414
0.053020,0.3408
0.053195,0.3432
0.053371,0.3418
0.053546,0.3434
0.053722,0.3447
0.053897,0.3463
0.054073,0.3463
0.054249,0.3493
0.054424,0.3473
0.054600,0.3469
0.054775,0.3473
