Tempo (s);Tensao (V)
0.00000;0.00000
0.00018;0.00000
0.00035;0.00000
0.00053;0.00000
0.00070;0.00000
0.00088;0.00000
0.00105;0.00000
0.00123;0.00000
0.00140;0.00000
0.00158;0.00000
0.00176;0.00000
0.00193;0.00000
0.00211;0.00000
0.00228;0.00000
0.00246;0.00000
0.00263;0.00000
0.00281;0.00000
0.00298;0.00000
0.00316;0.00000
0.00334;0.00000
0.00351;0.00000
0.00369;0.00000
0.00386;0.00000
0.00404;0.00000
0.00421;0.00000
0.00439;0.00000
0.00456;0.00000
0.00474;0.00000
0.00491;0.00000
0.00509;0.00000
0.00527;0.00000
0.00544;0.00000
0.00562;0.00000
0.00579;0.00000
0.00597;0.00000
0.00614;0.00000
0.00632;0.00000
0.00649;0.00000
0.00667;0.00000
0.00685;0.00000
0.00702;0.00000
0.00720;0.00000
0.00737;0.00000
0.00755;0.00000
0.00772;0.00000
0.00790;0.00000
0.00807;0.00000
0.00825;0.00000
0.00843;0.00000
0.00860;0.00000
0.00878;0.00000
0.00895;0.00000
0.00913;0.00000
0.00930;0.00000
0.00948;0.00000
0.00965;0.00000
0.00983;0.00000
0.01001;0.00000
0.01018;0.00000
0.01036;0.00000
0.01053;0.00000
0.01071;0.00000
0.01088;0.00000
0.01106;0.00000
0.01123;0.00000
0.01141;0.00000
0.01158;0.00000
0.01176;0.00000
0.01194;0.00000
0.01211;0.00000
0.01229;0.00000
0.01246;0.00000
0.01264;0.00000
0.01281;0.00000
0.01299;0.00000
0.01316;0.00000
0.01334;0.00000
0.01352;0.00000
0.01369;0.00000
0.01387;0.00000
0.01404;0.00000
0.01422;0.00000
0.01439;0.00000
0.01457;0.00000
0.01474;0.00000
0.01492;0.00000
0.01510;0.00000
0.01527;0.00000
0.01545;0.00000
0.01562;0.00000
0.01580;0.00000
0.01597;0.00000
0.01615;0.00000
0.01632;0.00000
0.01650;0.00000
0.01668;0.00000
0.01685;0.00000
0.01703;0.00000
0.01720;0.00000
0.01738;0.00000
0.01755;0.00000
0.01773;0.00000
0.01790;0.00000
0.01808;0.00000
0.01826;0.00000
0.01843;0.00000
0.01861;0.00000
0.01878;0.00000
0.01896;0.00000
0.01913;0.00000
0.01931;0.00000
0.01948;0.00000
0.01966;0.00000
0.01983;0.00000
0.02001;0.00000
0.02019;0.00000
0.02036;0.00000
0.02054;0.00000
0.02071;0.00000
0.02089;0.00000
0.02106;0.00000
0.02124;0.00000
0.02141;0.00000
0.02159;0.00000
0.02177;0.00000
0.02194;0.00000
0.02212;0.00000
0.02229;0.00000
0.02247;0.00000
0.02264;0.00000
0.02282;0.00000
0.02299;0.00000
0.02317;0.00000
0.02335;0.00000
0.02352;0.00000
0.02370;0.00000
0.02387;0.00000
0.02405;0.00000
0.02422;0.00000
0.02440;0.00000
0.02457;0.00000
0.02475;0.00000
0.02493;0.00000
0.02510;0.00000
0.02528;0.00000
0.02545;0.00000
0.02563;0.00000
0.02580;0.00000
0.02598;0.00000
0.02615;0.00000
0.02633;0.00000
0.02650;0.00000
0.02668;0.00000
0.02686;0.00000
0.02703;0.00000
0.02721;0.00000
0.02738;0.00000
0.02756;0.00000
0.02773;0.00000
0.02791;0.00000
0.02808;0.00000
0.02826;0.00000
0.02844;0.00000
0.02861;0.00000
0.02879;0.00000
0.02896;0.00000
0.02914;0.00000
0.02931;0.00000
0.02949;0.00000
0.02966;0.00000
0.02984;0.00000
0.03002;0.00000
0.03019;0.00000
0.03037;0.00000
0.03054;0.00000
0.03072;0.00000
0.03089;0.00000
0.03107;0.00000
0.03124;0.00000
0.03142;0.00000
0.03160;0.00000
0.03177;0.00000
0.03195;0.00000
0.03212;0.00000
0.03230;0.00000
0.03247;0.00000
0.03265;0.06311
0.03282;0.22478
0.03300;0.39587
0.03318;0.57348
0.03335;0.75852
0.03353;0.88671
0.03370;0.92207
0.03388;0.95454
0.03405;0.98594
0.03423;1.01432
0.03440;1.04207
0.03458;1.06802
0.03475;1.09342
0.03493;1.11662
0.03511;1.14143
0.03528;1.16294
0.03546;1.18249
0.03563;1.20121
0.03581;1.22028
0.03598;1.23617
0.03616;1.25334
0.03633;1.26966
0.03651;1.28448
0.03669;1.29992
0.03686;1.31081
0.03704;1.32303
0.03721;1.33651
0.03739;1.34950
0.03756;1.35917
0.03774;1.37207
0.03791;1.38203
0.03809;1.39161
0.03827;1.39930
0.03844;1.40662
0.03862;1.41505
0.03879;1.42279
0.03897;1.43009
0.03914;1.43897
0.03932;1.44704
0.03949;1.45493
0.03967;1.46155
0.03985;1.46893
0.04002;1.47410
0.04020;1.48094
0.04037;1.48463
0.04055;1.49070
0.04072;1.49628
0.04090;1.50143
0.04107;1.50642
0.04125;1.51269
0.04142;1.51628
0.04160;1.52048
0.04178;1.52537
0.04195;1.53008
0.04213;1.53416
0.04230;1.53948
0.04248;1.54249
0.04265;1.54608
0.04283;1.55038
0.04300;1.55524
0.04318;1.55910
0.04336;1.56507
0.04353;1.57003
0.04371;1.57475
0.04388;1.57763
0.04406;1.57971
0.04423;1.58270
0.04441;1.58651
0.04458;1.58991
0.04476;1.59594
0.04494;1.60212
0.04511;1.61013
0.04529;1.61330
0.04546;1.61629
0.04564;1.61914
0.04581;1.62250
0.04599;1.62141
0.04616;1.62424
0.04634;1.62727
0.04652;1.62952
0.04669;1.63202
0.04687;1.63468
0.04704;1.63723
0.04722;1.63933
0.04739;1.64109
0.04757;1.64288
0.04774;1.64429
0.04792;1.64583
0.04809;1.64730
0.04827;1.64863
0.04845;1.65030
0.04862;1.65189
0.04880;1.65397
0.04897;1.65644
0.04915;1.65802
0.04932;1.66027
0.04950;1.65929
0.04967;1.66117
0.04985;1.66335
0.05003;1.66583
0.05020;1.66736
0.05038;1.67247
0.05055;1.67298
0.05073;1.67319
0.05090;1.67614
0.05108;1.67768
0.05125;1.67998
0.05143;1.68226
0.05161;1.68429
0.05178;1.68406
0.05196;1.68507
0.05213;1.68584
0.05231;1.68725
0.05248;1.68860
0.05266;1.68992
0.05283;1.69200
0.05301;1.69282
0.05319;1.69428
0.05336;1.69535
0.05354;1.69672
0.05371;1.69787
0.05389;1.69900
0.05406;1.70065
0.05424;1.70100
0.05441;1.70189
0.05459;1.70290
0.05477;1.70449
0.05494;1.70529
0.05512;1.70773
0.05529;1.70676
0.05547;1.70751
0.05564;1.70855
0.05582;1.70917
0.05599;1.70913
0.05617;1.71249
0.05634;1.71370
0.05652;1.71478
0.05670;1.71692
0.05687;1.71823
0.05705;1.72034
0.05722;1.72152
0.05740;1.72115
0.05757;1.72021
0.05775;1.72187
0.05792;1.72293
0.05810;1.72566
0.05828;1.72841
0.05845;1.73128
0.05863;1.73274
0.05880;1.73408
0.05898;1.73426
0.05915;1.73567
0.05933;1.73356
0.05950;1.73434
0.05968;1.73479
0.05986;1.73513
0.06003;1.73512
0.06021;1.73893
0.06038;1.73931
0.06056;1.73908
0.06073;1.73956
0.06091;1.74050
0.06108;1.73984
0.06126;1.74033
0.06144;1.74137
0.06161;1.74147
0.06179;1.74158
0.06196;1.74284
0.06214;1.74319
0.06231;1.74305
0.06249;1.74323
0.06266;1.74334
0.06284;1.74314
0.06301;1.74412
0.06319;1.74483
0.06337;1.74584
0.06354;1.74770
0.06372;1.75024
0.06389;1.75233
0.06407;1.75136
0.06424;1.75337
0.06442;1.75324
0.06459;1.75376
0.06477;1.75220
0.06495;1.75504
0.06512;1.75691
0.06530;1.75812
0.06547;1.75921
0.06565;1.76136
0.06582;1.76186
0.06600;1.75813
0.06617;1.75722
0.06635;1.75623
0.06653;1.75639
0.06670;1.75699
0.06688;1.76110
0.06705;1.76564
0.06723;1.76710
0.06740;1.76789
0.06758;1.76903
0.06775;1.76868
0.06793;1.76731
0.06811;1.76810
0.06828;1.76846
0.06846;1.76874
0.06863;1.76957
0.06881;1.76929
0.06898;1.76868
0.06916;1.76884
0.06933;1.76845
0.06951;1.76801
0.06969;1.76785
0.06986;1.76825
0.07004;1.76886
0.07021;1.76964
0.07039;1.76948
0.07056;1.77037
0.07074;1.77126
0.07091;1.77355
0.07109;1.77291
0.07126;1.77431
0.07144;1.77539
0.07162;1.77445
0.07179;1.77278
0.07197;1.77678
0.07214;1.77668
0.07232;1.77571
0.07249;1.77699
0.07267;1.77727
0.07284;1.77615
0.07302;1.77596
0.07320;1.77737
0.07337;1.77824
0.07355;1.78000
0.07372;1.78008
0.07390;1.78137
0.07407;1.78180
0.07425;1.78315
0.07442;1.78357
0.07460;1.78474
0.07478;1.78619
0.07495;1.78721
0.07513;1.78610
0.07530;1.78538
0.07548;1.78511
0.07565;1.78433
0.07583;1.78525
0.07600;1.78696
0.07618;1.78817
0.07636;1.78891
0.07653;1.78942
0.07671;1.78947
0.07688;1.78943
0.07706;1.78986
0.07723;1.78951
0.07741;1.79022
0.07758;1.79027
0.07776;1.79151
0.07793;1.79104
0.07811;1.79180
0.07829;1.79220
0.07846;1.79307
0.07864;1.79361
0.07881;1.79550
0.07899;1.79619
0.07916;1.79839
0.07934;1.79944
0.07951;1.79964
0.07969;1.79946
