Tempo (s);Tensao (V)
0.00000;0.00000
0.00018;0.00000
0.00035;0.00000
0.00053;0.00000
0.00070;0.00000
0.00088;0.00000
0.00105;0.00000
0.00123;0.00000
0.00140;0.00000
0.00158;0.00000
0.00176;0.00000
0.00193;0.00000
0.00211;0.00000
0.00228;0.00000
0.00246;0.00000
0.00263;0.00000
0.00281;0.00000
0.00298;0.00000
0.00316;0.00000
0.00334;0.00000
0.00351;0.00000
0.00369;0.00000
0.00386;0.00000
0.00404;0.00000
0.00421;0.00000
0.00439;0.00000
0.00456;0.00000
0.00474;0.00000
0.00491;0.00000
0.00509;0.00000
0.00527;0.00000
0.00544;0.00000
0.00562;0.00000
0.00579;0.00000
0.00597;0.00000
0.00614;0.00000
0.00632;0.00000
0.00649;0.00000
0.00667;0.00000
0.00685;0.00000
0.00702;0.00000
0.00720;0.00000
0.00737;0.00000
0.00755;0.00000
0.00772;0.00000
0.00790;0.00000
0.00807;0.00000
0.00825;0.00000
0.00843;0.00000
0.00860;0.00000
0.00878;0.00000
0.00895;0.00000
0.00913;0.00000
0.00930;0.00000
0.00948;0.00000
0.00965;0.00000
0.00983;0.00000
0.01001;0.00000
0.01018;0.00000
0.01036;0.00000
0.01053;0.00000
0.01071;0.00000
0.01088;0.00000
0.01106;0.00000
0.01123;0.00000
0.01141;0.00000
0.01158;0.00000
0.01176;0.00000
0.01194;0.00000
0.01211;0.00000
0.01229;0.00000
0.01246;0.00000
0.01264;0.00000
0.01281;0.00000
0.01299;0.00000
0.01316;0.00000
0.01334;0.00000
0.01352;0.00000
0.01369;0.00000
0.01387;0.00000
0.01404;0.00000
0.01422;0.00000
0.01439;0.00000
0.01457;0.00000
0.01474;0.00000
0.01492;0.00000
0.01510;0.00000
0.01527;0.00000
0.01545;0.00000
0.01562;0.00000
0.01580;0.00000
0.01597;0.00000
0.01615;0.00000
0.01632;0.00000
0.01650;0.00000
0.01668;0.00000
0.01685;0.00000
0.01703;0.00000
0.01720;0.00000
0.01738;0.00000
0.01755;0.00000
0.01773;0.00000
0.01790;0.00000
0.01808;0.00000
0.01826;0.00000
0.01843;0.00000
0.01861;0.00000
0.01878;0.00000
0.01896;0.00000
0.01913;0.00000
0.01931;0.00000
0.01948;0.00000
0.01966;0.00000
0.01983;0.00000
0.02001;0.00000
0.02019;0.00000
0.02036;0.00000
0.02054;0.00000
0.02071;0.00000
0.02089;0.00000
0.02106;0.00000
0.02124;0.00000
0.02141;0.00000
0.02159;0.00000
0.02177;0.00000
0.02194;0.00000
0.02212;0.00000
0.02229;0.00000
0.02247;0.00000
0.02264;0.00000
0.02282;0.00000
0.02299;0.00000
0.02317;0.00000
0.02335;0.00000
0.02352;0.00000
0.02370;0.00000
0.02387;0.00000
0.02405;0.00000
0.02422;0.00000
0.02440;0.00000
0.02457;0.00000
0.02475;0.00000
0.02493;0.00000
0.02510;0.00000
0.02528;0.00000
0.02545;0.00000
0.02563;0.00000
0.02580;0.00000
0.02598;0.00000
0.02615;0.00000
0.02633;0.00000
0.02650;0.00000
0.02668;0.00000
0.02686;0.00000
0.02703;0.00000
0.02721;0.00000
0.02738;0.00000
0.02756;0.00000
0.02773;0.00000
0.02791;0.00000
0.02808;0.00000
0.02826;0.00000
0.02844;0.00000
0.02861;0.00000
0.02879;0.00000
0.02896;0.00000
0.02914;0.00000
0.02931;0.00000
0.02949;0.00000
0.02966;0.00000
0.02984;0.00000
0.03002;0.00000
0.03019;0.00000
0.03037;0.00000
0.03054;0.00000
0.03072;0.00000
0.03089;0.00000
0.03107;0.00000
0.03124;0.02326
0.03142;0.11611
0.03160;0.21767
0.03177;0.32185
0.03195;0.42806
0.03212;0.51669
0.03230;0.53981
0.03247;0.55870
0.03265;0.57736
0.03282;0.59754
0.03300;0.61509
0.03318;0.63298
0.03335;0.64874
0.03353;0.66419
0.03370;0.67964
0.03388;0.69466
0.03405;0.70663
0.03423;0.71978
0.03440;0.73220
0.03458;0.74419
0.03475;0.75550
0.03493;0.76724
0.03511;0.77808
0.03528;0.78914
0.03546;0.79783
0.03563;0.80854
0.03581;0.81504
0.03598;0.82144
0.03616;0.83078
0.03633;0.84010
0.03651;0.84676
0.03669;0.85715
0.03686;0.86935
0.03704;0.87589
0.03721;0.88327
0.03739;0.89041
0.03756;0.89956
0.03774;0.90375
0.03791;0.91183
0.03809;0.91883
0.03827;0.92320
0.03844;0.92829
0.03862;0.93334
0.03879;0.93840
0.03897;0.94449
0.03914;0.95264
0.03932;0.95834
0.03949;0.96512
0.03967;0.97099
0.03985;0.97598
0.04002;0.98108
0.04020;0.98576
0.04037;0.99056
0.04055;0.99477
0.04072;0.99882
0.04090;1.00358
0.04107;1.00835
0.04125;1.01203
0.04142;1.01461
0.04160;1.01807
0.04178;1.01899
0.04195;1.02106
0.04213;1.02568
0.04230;1.02980
0.04248;1.03371
0.04265;1.03873
0.04283;1.04326
0.04300;1.04508
0.04318;1.04800
0.04336;1.05127
0.04353;1.05474
0.04371;1.05817
0.04388;1.06220
0.04406;1.06530
0.04423;1.06855
0.04441;1.07142
0.04458;1.07364
0.04476;1.07619
0.04494;1.07982
0.04511;1.08349
0.04529;1.08200
0.04546;1.08348
0.04564;1.08495
0.04581;1.08708
0.04599;1.08703
0.04616;1.09315
0.04634;1.09572
0.04652;1.09822
0.04669;1.09988
0.04687;1.10208
0.04704;1.10413
0.04722;1.10599
0.04739;1.10873
0.04757;1.11071
0.04774;1.11304
0.04792;1.11500
0.04809;1.11737
0.04827;1.11845
0.04845;1.12068
0.04862;1.12226
0.04880;1.12480
0.04897;1.12647
0.04915;1.12857
0.04932;1.12821
0.04950;1.12942
0.04967;1.13016
0.04985;1.13239
0.05003;1.13243
0.05020;1.13630
0.05038;1.13782
0.05055;1.13999
0.05073;1.14002
0.05090;1.14126
0.05108;1.14178
0.05125;1.14445
0.05143;1.14555
0.05161;1.14690
0.05178;1.15036
0.05196;1.15057
0.05213;1.14996
0.05231;1.15093
0.05248;1.15223
0.05266;1.15401
0.05283;1.15654
0.05301;1.15888
0.05319;1.16022
0.05336;1.16298
0.05354;1.16409
0.05371;1.16642
0.05389;1.16871
0.05406;1.17164
0.05424;1.17380
0.05441;1.17598
0.05459;1.17817
0.05477;1.18071
0.05494;1.18230
0.05512;1.18335
0.05529;1.18418
0.05547;1.18505
0.05564;1.18530
0.05582;1.18561
0.05599;1.18600
0.05617;1.18981
0.05634;1.19047
0.05652;1.19190
0.05670;1.19249
0.05687;1.19455
0.05705;1.19418
0.05722;1.19642
0.05740;1.19708
0.05757;1.20042
0.05775;1.20152
0.05792;1.19840
0.05810;1.19844
0.05828;1.19976
0.05845;1.19977
0.05863;1.19981
0.05880;1.20439
0.05898;1.20499
0.05915;1.20513
0.05933;1.20618
0.05950;1.20623
0.05968;1.20804
0.05986;1.20858
0.06003;1.20918
0.06021;1.20907
0.06038;1.20873
0.06056;1.20746
0.06073;1.20976
0.06091;1.21146
0.06108;1.21302
0.06126;1.21609
0.06144;1.21697
0.06161;1.21715
0.06179;1.21880
0.06196;1.21917
0.06214;1.21966
0.06231;1.22091
0.06249;1.22194
0.06266;1.22149
0.06284;1.22188
0.06301;1.22285
0.06319;1.22383
0.06337;1.22378
0.06354;1.22662
0.06372;1.22638
0.06389;1.22609
0.06407;1.22598
0.06424;1.22620
0.06442;1.22483
0.06459;1.22630
0.06477;1.22772
0.06495;1.22815
0.06512;1.22917
0.06530;1.22930
0.06547;1.22986
0.06565;1.23078
0.06582;1.23194
0.06600;1.23199
0.06617;1.23495
0.06635;1.23481
0.06653;1.23379
0.06670;1.23354
0.06688;1.23454
0.06705;1.23231
0.06723;1.23339
0.06740;1.23567
0.06758;1.23496
0.06775;1.23498
0.06793;1.23609
0.06811;1.23709
0.06828;1.23603
0.06846;1.23777
0.06863;1.23895
0.06881;1.24000
0.06898;1.24076
0.06916;1.24269
0.06933;1.24425
0.06951;1.24355
0.06969;1.24401
0.06986;1.24401
0.07004;1.24382
0.07021;1.24393
0.07039;1.24486
0.07056;1.24344
0.07074;1.24346
0.07091;1.24378
0.07109;1.24461
0.07126;1.24565
0.07144;1.24725
0.07162;1.24388
0.07179;1.24581
0.07197;1.24662
0.07214;1.24767
0.07232;1.24957
0.07249;1.25531
0.07267;1.25506
0.07284;1.25542
0.07302;1.25626
0.07320;1.25523
0.07337;1.25278
0.07355;1.25384
0.07372;1.25487
0.07390;1.25311
0.07407;1.25527
0.07425;1.25693
0.07442;1.25692
0.07460;1.25581
0.07478;1.25801
0.07495;1.25665
0.07513;1.25830
0.07530;1.25757
0.07548;1.25726
0.07565;1.25656
0.07583;1.25750
0.07600;1.25740
0.07618;1.25868
0.07636;1.26022
0.07653;1.26102
0.07671;1.26133
0.07688;1.26212
0.07706;1.26282
0.07723;1.26319
0.07741;1.26417
0.07758;1.26457
0.07776;1.26495
0.07793;1.26667
0.07811;1.26602
0.07829;1.26570
0.07846;1.26572
0.07864;1.26497
0.07881;1.26188
0.07899;1.26221
0.07916;1.26291
0.07934;1.26349
0.07951;1.26363
0.07969;1.26465
