Tempo (s);Tensao (V)
0.00000;0.00000
0.00018;0.00000
0.00035;0.00000
0.00053;0.00000
0.00070;0.00000
0.00088;0.00000
0.00105;0.00000
0.00123;0.00000
0.00140;0.00000
0.00158;0.00000
0.00176;0.00000
0.00193;0.00000
0.00211;0.00000
0.00228;0.00000
0.00246;0.00000
0.00263;0.00000
0.00281;0.00000
0.00298;0.00000
0.00316;0.00000
0.00334;0.00000
0.00351;0.00000
0.00369;0.00000
0.00386;0.00000
0.00404;0.00000
0.00421;0.00000
0.00439;0.00000
0.00456;0.00000
0.00474;0.00000
0.00491;0.00000
0.00509;0.00000
0.00527;0.00000
0.00544;0.00000
0.00562;0.00000
0.00579;0.00000
0.00597;0.00000
0.00614;0.00000
0.00632;0.00000
0.00649;0.00000
0.00667;0.00000
0.00685;0.00000
0.00702;0.00000
0.00720;0.00000
0.00737;0.00000
0.00755;0.00000
0.00772;0.00000
0.00790;0.00000
0.00807;0.00000
0.00825;0.00000
0.00843;0.00000
0.00860;0.00000
0.00878;0.00000
0.00895;0.00000
0.00913;0.00000
0.00930;0.00000
0.00948;0.00000
0.00965;0.00000
0.00983;0.00000
0.01001;0.00000
0.01018;0.00000
0.01036;0.00000
0.01053;0.00000
0.01071;0.00000
0.01088;0.00000
0.01106;0.00000
0.01123;0.00000
0.01141;0.00000
0.01158;0.00000
0.01176;0.00000
0.01194;0.00000
0.01211;0.00000
0.01229;0.00000
0.01246;0.00000
0.01264;0.00000
0.01281;0.00000
0.01299;0.00000
0.01316;0.00000
0.01334;0.00000
0.01352;0.00000
0.01369;0.00000
0.01387;0.00000
0.01404;0.00000
0.01422;0.00000
0.01439;0.00000
0.01457;0.00000
0.01474;0.00000
0.01492;0.00000
0.01510;0.00000
0.01527;0.00000
0.01545;0.00000
0.01562;0.00000
0.01580;0.00000
0.01597;0.00000
0.01615;0.00000
0.01632;0.00000
0.01650;0.00000
0.01668;0.00000
0.01685;0.00000
0.01703;0.00000
0.01720;0.00000
0.01738;0.00000
0.01755;0.00000
0.01773;0.00000
0.01790;0.00000
0.01808;0.00000
0.01826;0.00000
0.01843;0.00000
0.01861;0.00000
0.01878;0.00000
0.01896;0.00000
0.01913;0.00000
0.01931;0.00000
0.01948;0.00000
0.01966;0.00000
0.01983;0.00000
0.02001;0.00000
0.02019;0.00000
0.02036;0.00000
0.02054;0.00000
0.02071;0.00000
0.02089;0.00000
0.02106;0.00000
0.02124;0.00000
0.02141;0.00000
0.02159;0.00000
0.02177;0.00000
0.02194;0.00000
0.02212;0.00000
0.02229;0.00000
0.02247;0.00000
0.02264;0.00000
0.02282;0.00000
0.02299;0.00000
0.02317;0.00000
0.02335;0.00000
0.02352;0.00000
0.02370;0.00000
0.02387;0.00000
0.02405;0.00000
0.02422;0.00000
0.02440;0.00000
0.02457;0.00000
0.02475;0.00000
0.02493;0.00000
0.02510;0.00000
0.02528;0.00000
0.02545;0.00000
0.02563;0.00000
0.02580;0.00000
0.02598;0.00000
0.02615;0.00000
0.02633;0.00000
0.02650;0.00000
0.02668;0.00000
0.02686;0.00000
0.02703;0.00000
0.02721;0.00000
0.02738;0.00000
0.02756;0.00000
0.02773;0.00000
0.02791;0.00000
0.02808;0.00000
0.02826;0.00000
0.02844;0.00000
0.02861;0.00000
0.02879;0.00000
0.02896;0.00000
0.02914;0.00000
0.02931;0.00000
0.02949;0.00000
0.02966;0.00000
0.02984;0.00000
0.03002;0.00000
0.03019;0.00000
0.03037;0.00000
0.03054;0.00000
0.03072;0.00000
0.03089;0.00000
0.03107;0.00000
0.03124;0.00000
0.03142;0.00000
0.03160;0.00000
0.03177;0.00000
0.03195;0.00000
0.03212;0.00000
0.03230;0.00000
0.03247;0.00000
0.03265;0.00000
0.03282;0.00000
0.03300;0.00275
0.03318;0.18945
0.03335;0.40088
0.03353;0.61776
0.03370;0.84079
0.03388;1.06605
0.03405;1.11184
0.03423;1.13702
0.03440;1.16225
0.03458;1.18514
0.03475;1.20732
0.03493;1.22951
0.03511;1.24991
0.03528;1.26958
0.03546;1.28873
0.03563;1.30644
0.03581;1.32239
0.03598;1.33832
0.03616;1.35329
0.03633;1.36718
0.03651;1.38074
0.03669;1.39392
0.03686;1.40633
0.03704;1.41762
0.03721;1.42809
0.03739;1.43798
0.03756;1.44801
0.03774;1.45962
0.03791;1.46886
0.03809;1.47838
0.03827;1.48696
0.03844;1.49643
0.03862;1.50263
0.03879;1.51004
0.03897;1.51927
0.03914;1.52848
0.03932;1.53357
0.03949;1.54005
0.03967;1.54622
0.03985;1.55047
0.04002;1.55459
0.04020;1.56164
0.04037;1.56860
0.04055;1.57530
0.04072;1.58119
0.04090;1.58796
0.04107;1.59265
0.04125;1.59954
0.04142;1.60583
0.04160;1.61206
0.04178;1.61753
0.04195;1.62335
0.04213;1.62677
0.04230;1.63155
0.04248;1.63563
0.04265;1.64071
0.04283;1.64818
0.04300;1.65280
0.04318;1.65608
0.04336;1.65942
0.04353;1.66305
0.04371;1.66491
0.04388;1.66824
0.04406;1.67360
0.04423;1.67733
0.04441;1.68027
0.04458;1.68338
0.04476;1.68662
0.04494;1.68883
0.04511;1.69152
0.04529;1.69115
0.04546;1.69109
0.04564;1.69453
0.04581;1.69684
0.04599;1.70211
0.04616;1.70863
0.04634;1.71352
0.04652;1.71750
0.04669;1.72113
0.04687;1.72282
0.04704;1.72530
0.04722;1.72764
0.04739;1.72774
0.04757;1.72977
0.04774;1.73239
0.04792;1.73598
0.04809;1.74060
0.04827;1.74502
0.04845;1.74810
0.04862;1.75062
0.04880;1.75307
0.04897;1.75482
0.04915;1.75797
0.04932;1.76039
0.04950;1.76396
0.04967;1.76632
0.04985;1.76848
0.05003;1.76982
0.05020;1.77127
0.05038;1.77299
0.05055;1.77417
0.05073;1.77637
0.05090;1.77832
0.05108;1.77839
0.05125;1.77914
0.05143;1.78179
0.05161;1.78371
0.05178;1.78504
0.05196;1.78778
0.05213;1.78822
0.05231;1.78901
0.05248;1.79007
0.05266;1.78846
0.05283;1.79278
0.05301;1.79560
0.05319;1.79823
0.05336;1.79932
0.05354;1.80607
0.05371;1.80436
0.05389;1.80530
0.05406;1.80453
0.05424;1.80462
0.05441;1.80063
0.05459;1.80274
0.05477;1.80340
0.05494;1.80470
0.05512;1.80736
0.05529;1.81162
0.05547;1.81386
0.05564;1.81648
0.05582;1.81890
0.05599;1.82078
0.05617;1.82285
0.05634;1.82407
0.05652;1.82562
0.05670;1.82786
0.05687;1.82869
0.05705;1.82618
0.05722;1.82653
0.05740;1.82661
0.05757;1.82564
0.05775;1.82583
0.05792;1.82834
0.05810;1.82820
0.05828;1.82918
0.05845;1.82748
0.05863;1.82801
0.05880;1.82949
0.05898;1.83150
0.05915;1.83234
0.05933;1.83282
0.05950;1.83253
0.05968;1.83413
0.05986;1.83601
0.06003;1.83858
0.06021;1.84258
0.06038;1.84414
0.06056;1.84345
0.06073;1.84291
0.06091;1.84445
0.06108;1.84576
0.06126;1.84796
0.06144;1.85007
0.06161;1.85129
0.06179;1.85092
0.06196;1.85189
0.06214;1.85367
0.06231;1.85585
0.06249;1.85761
0.06266;1.85994
0.06284;1.86198
0.06301;1.86429
0.06319;1.86522
0.06337;1.86658
0.06354;1.86567
0.06372;1.86602
0.06389;1.86561
0.06407;1.86610
0.06424;1.86608
0.06442;1.86806
0.06459;1.86877
0.06477;1.86879
0.06495;1.86966
0.06512;1.87006
0.06530;1.87060
0.06547;1.86670
0.06565;1.86749
0.06582;1.86910
0.06600;1.87104
0.06617;1.87293
0.06635;1.87959
0.06653;1.87982
0.06670;1.88049
0.06688;1.88137
0.06705;1.88066
0.06723;1.88153
0.06740;1.88226
0.06758;1.88231
0.06775;1.88180
0.06793;1.88189
0.06811;1.88014
0.06828;1.88001
0.06846;1.88016
0.06863;1.88120
0.06881;1.88191
0.06898;1.88330
0.06916;1.88642
0.06933;1.88745
0.06951;1.88791
0.06969;1.88827
0.06986;1.88924
0.07004;1.88955
0.07021;1.89006
0.07039;1.89119
0.07056;1.89237
0.07074;1.89267
0.07091;1.89300
0.07109;1.89351
0.07126;1.89425
0.07144;1.89564
0.07162;1.89616
0.07179;1.89727
0.07197;1.89745
0.07214;1.89675
0.07232;1.89572
0.07249;1.89629
0.07267;1.89538
0.07284;1.89535
0.07302;1.89549
0.07320;1.89642
0.07337;1.89644
0.07355;1.89687
0.07372;1.89729
0.07390;1.89399
0.07407;1.89395
0.07425;1.89339
0.07442;1.89308
0.07460;1.89340
0.07478;1.89517
0.07495;1.89419
0.07513;1.89431
0.07530;1.89679
0.07548;1.89755
0.07565;1.90050
0.07583;1.90269
0.07600;1.90460
0.07618;1.90386
0.07636;1.90469
0.07653;1.90639
0.07671;1.90685
0.07688;1.90749
0.07706;1.90872
0.07723;1.91030
0.07741;1.91098
0.07758;1.91210
0.07776;1.91286
0.07793;1.91312
0.07811;1.91320
0.07829;1.91307
0.07846;1.91328
0.07864;1.91362
0.07881;1.91328
0.07899;1.91271
0.07916;1.91199
0.07934;1.91104
0.07951;1.90982
0.07969;1.91016
