Tempo (s),Tensao (V)
0.000000,0.0000
0.000176,0.0000
0.000351,0.0000
0.000527,0.0000
0.000702,0.0000
0.000878,0.0000
0.001053,0.0000
0.001229,0.0000
0.001404,0.0000
0.001580,0.0000
0.001755,0.0000
0.001931,0.0000
0.002106,0.0000
0.002282,0.0000
0.002457,0.0000
0.002633,0.0000
0.002808,0.0000
0.002984,0.0002
0.003159,0.0002
0.003335,0.0002
0.003510,0.0002
0.003686,0.0002
0.003861,0.0000
0.004037,0.0000
0.004212,0.0000
0.004388,0.0000
0.004563,0.0000
0.004739,0.0000
0.004914,0.0000
0.005090,0.0000
0.005265,0.0000
0.005441,0.0000
0.005616,0.0000
0.005792,0.0000
0.005967,0.0000
0.006143,0.0000
0.006318,0.0000
0.006494,0.0000
0.006669,0.0000
0.006845,0.0004
0.007020,0.0004
0.007196,0.0004
0.007371,0.0004
0.007547,0.0004
0.007722,0.0000
0.007898,0.0000
0.008073,0.0000
0.008249,0.0000
0.008424,0.0000
0.008600,0.0000
0.008775,0.0000
0.008951,0.0000
0.009126,0.0000
0.009302,0.0000
0.009477,0.0000
0.009653,0.0000
0.009828,0.0000
0.010004,0.0000
0.010179,0.0000
0.010355,0.0000
0.010531,0.0000
0.010706,0.0000
0.010882,0.0000
0.011057,0.0000
0.011233,0.0000
0.011408,0.0000
0.011584,0.0000
0.011759,0.0000
0.011935,0.0000
0.012110,0.0000
0.012286,0.0000
0.012461,0.0000
0.012637,0.0000
0.012812,0.0000
0.012988,0.0000
0.013163,0.0000
0.013339,0.0000
0.013514,0.0000
0.013690,0.0000
0.013865,0.0000
0.014041,0.0000
0.014216,0.0000
0.014392,0.0000
0.014567,0.0000
0.014743,0.0000
0.014918,0.0000
0.015094,0.0000
0.015269,0.0000
0.015445,0.0000
0.015620,0.0000
0.015796,0.0000
0.015971,0.0000
0.016147,0.0000
0.016322,0.0000
0.016498,0.0000
0.016673,0.0000
0.016849,0.0000
0.017024,0.0000
0.017200,0.0000
0.017375,0.0000
0.017551,0.0000
0.017726,0.0000
0.017902,0.0000
0.018077,0.0000
0.018253,0.0016
0.018428,0.0016
0.018604,0.0016
0.018779,0.0016
0.018955,0.0016
0.019130,0.0000
0.019306,0.0000
0.019481,0.0000
0.019657,0.0000
0.019832,0.0000
0.020008,0.0000
0.020183,0.0000
0.020359,0.0000
0.020535,0.0000
0.020710,0.0000
0.020886,0.0000
0.021061,0.0000
0.021237,0.0000
0.021412,0.0000
0.021588,0.0000
0.021763,0.0000
0.021939,0.0000
0.022114,0.0000
0.022290,0.0000
0.022465,0.0000
0.022641,0.0000
0.022816,0.0000
0.022992,0.0000
0.023167,0.0000
0.023343,0.0000
0.023518,0.0000
0.023694,0.0000
0.023869,0.0000
0.024045,0.0000
0.024220,0.0000
0.024396,0.0000
0.024571,0.0000
0.024747,0.0000
0.024922,0.0000
0.025098,0.0000
0.025273,0.0000
0.025449,0.0000
0.025624,0.0000
0.025800,0.0000
0.025975,0.0000
0.026151,0.0000
0.026326,0.0000
0.026502,0.0000
0.026677,0.0000
0.026853,0.0000
0.027028,0.0000
0.027204,0.0000
0.027379,0.0000
0.027555,0.0000
0.027730,0.0000
0.027906,0.0000
0.028081,0.0000
0.028257,0.0000
0.028432,0.0000
0.028608,0.0000
0.028783,0.0000
0.028959,0.0000
0.029134,0.0000
0.029310,0.0000
0.029485,0.0000
0.029661,0.0000
0.029836,0.0000
0.030012,0.0000
0.030187,0.0000
0.030363,0.0000
0.030538,0.0000
0.030714,0.0003
0.030890,0.0003
0.031065,0.0003
0.031241,0.0003
0.031416,0.0003
0.031592,0.0000
0.031767,0.0000
0.031943,0.0000
0.032118,0.0000
0.032294,0.0000
0.032469,0.0000
0.032645,0.0000
0.032820,0.0000
0.032996,0.0000
0.033171,0.0000
0.033347,0.0000
0.033522,0.0000
0.033698,0.0000
0.033873,0.0000
0.034049,0.0000
0.034224,0.0000
0.034400,0.0000
0.034575,0.0000
0.034751,0.0000
0.034926,0.0000
0.035102,0.0000
0.035277,0.0000
0.035453,0.0000
0.035628,0.0000
0.035804,0.0000
0.035979,0.0000
0.036155,0.0000
0.036330,0.0000
0.036506,0.0000
0.036681,0.0000
0.036857,0.0000
0.037032,0.0000
0.037208,0.0000
0.037383,0.0000
0.037559,0.0000
0.037734,0.0000
0.037910,0.0000
0.038085,0.0000
0.038261,0.0000
0.038436,0.0000
0.038612,0.0000
0.038787,0.0000
0.038963,0.0000
0.039138,0.0000
0.039314,0.0000
0.039489,0.0000
0.039665,0.0000
0.039840,0.0000
0.040016,0.0000
0.040191,0.0000
0.040367,0.0000
0.040542,0.0000
0.040718,0.0000
0.040893,0.0000
0.041069,0.0000
0.041245,0.0000
0.041420,0.0000
0.041596,0.0000
0.041771,0.0000
0.041947,0.0000
0.042122,0.0000
0.042298,0.0407
0.042473,0.1602
0.042649,0.2879
0.042824,0.4253
0.043000,0.5716
0.043175,0.6818
0.043351,0.7220
0.043526,0.7621
0.043702,0.7992
0.043877,0.8341
0.044053,0.8707
0.044228,0.9049
0.044404,0.9375
0.044579,0.9692
0.044755,0.9993
0.044930,1.0311
0.045106,1.0622
0.045281,1.0914
0.045457,1.1198
0.045632,1.1473
0.045808,1.1727
0.045983,1.1966
0.046159,1.2187
0.046334,1.2418
0.046510,1.2654
0.046685,1.2877
0.046861,1.3098
0.047036,1.3333
0.047212,1.3546
0.047387,1.3729
0.047563,1.3926
0.047738,1.4125
0.047914,1.4318
0.048089,1.4508
0.048265,1.4695
0.048440,1.4866
0.048616,1.5040
0.048791,1.5207
0.048967,1.5360
0.049142,1.5531
0.049318,1.5694
0.049493,1.5841
0.049669,1.5985
0.049844,1.6141
0.050020,1.6293
0.050195,1.6433
0.050371,1.6570
0.050546,1.6709
0.050722,1.6834
0.050897,1.6961
0.051073,1.7092
0.051249,1.7219
0.051424,1.7336
0.051600,1.7454
0.051775,1.7572
0.051951,1.7692
0.052126,1.7805
0.052302,1.7921
0.052477,1.8034
0.052653,1.8149
0.052828,1.8252
0.053004,1.8358
0.053179,1.8469
0.053355,1.8582
0.053530,1.8685
0.053706,1.8778
0.053881,1.8866
0.054057,1.8954
0.054232,1.9038
0.054408,1.9124
0.054583,1.9213
0.054759,1.9302
