Tempo (s),Tensao (V)
0.000000,0.0000
0.000176,0.0000
0.000351,0.0000
0.000527,0.0000
0.000702,0.0000
0.000878,0.0000
0.001054,0.0000
0.001229,0.0000
0.001405,0.0000
0.001581,0.0000
0.001756,0.0000
0.001932,0.0000
0.002107,0.0000
0.002283,0.0000
0.002459,0.0000
0.002634,0.0000
0.002810,0.0000
0.002985,0.0000
0.003161,0.0000
0.003337,0.0000
0.003512,0.0000
0.003688,0.0000
0.003864,0.0000
0.004039,0.0000
0.004215,0.0000
0.004390,0.0000
0.004566,0.0000
0.004742,0.0000
0.004917,0.0000
0.005093,0.0000
0.005268,0.0000
0.005444,0.0000
0.005620,0.0000
0.005795,0.0000
0.005971,0.0000
0.006147,0.0000
0.006322,0.0000
0.006498,0.0000
0.006673,0.0000
0.006849,0.0000
0.007025,0.0000
0.007200,0.0000
0.007376,0.0000
0.007551,0.0000
0.007727,0.0000
0.007903,0.0000
0.008078,0.0000
0.008254,0.0000
0.008430,0.0000
0.008605,0.0000
0.008781,0.0000
0.008956,0.0000
0.009132,0.0000
0.009308,0.0000
0.009483,0.0000
0.009659,0.0000
0.009834,0.0000
0.010010,0.0000
0.010186,0.0000
0.010361,0.0000
0.010537,0.0000
0.010712,0.0000
0.010888,0.0000
0.011064,0.0000
0.011239,0.0000
0.011415,0.0000
0.011591,0.0000
0.011766,0.0000
0.011942,0.0000
0.012117,0.0000
0.012293,0.0000
0.012469,0.0000
0.012644,0.0000
0.012820,0.0000
0.012995,0.0000
0.013171,0.0000
0.013347,0.0000
0.013522,0.0000
0.013698,0.0000
0.013874,0.0000
0.014049,0.0000
0.014225,0.0000
0.014400,0.0000
0.014576,0.0000
0.014752,0.0000
0.014927,0.0000
0.015103,0.0000
0.015278,0.0000
0.015454,0.0000
0.015630,0.0000
0.015805,0.0000
0.015981,0.0000
0.016157,0.0000
0.016332,0.0000
0.016508,0.0000
0.016683,0.0000
0.016859,0.0000
0.017035,0.0000
0.017210,0.0000
0.017386,0.0000
0.017561,0.0000
0.017737,0.0000
0.017913,0.0000
0.018088,0.0000
0.018264,0.0000
0.018440,0.0000
0.018615,0.0000
0.018791,0.0000
0.018966,0.0000
0.019142,0.0000
0.019318,0.0000
0.019493,0.0000
0.019669,0.0000
0.019844,0.0000
0.020020,0.0000
0.020196,0.0000
0.020371,0.0000
0.020547,0.0000
0.020723,0.0000
0.020898,0.0000
0.021074,0.0000
0.021249,0.0000
0.021425,0.0000
0.021601,0.0000
0.021776,0.0000
0.021952,0.0000
0.022127,0.0000
0.022303,0.0000
0.022479,0.0000
0.022654,0.0000
0.022830,0.0000
0.023006,0.0000
0.023181,0.0000
0.023357,0.0000
0.023532,0.0096
0.023708,0.0513
0.023884,0.0966
0.024059,0.1427
0.024235,0.1942
0.024410,0.2371
0.024586,0.2498
0.024762,0.2608
0.024937,0.2719
0.025113,0.2787
0.025289,0.2872
0.025464,0.2957
0.025640,0.3040
0.025815,0.3139
0.025991,0.3230
0.026167,0.3313
0.026342,0.3401
0.026518,0.3494
0.026693,0.3573
0.026869,0.3665
0.027045,0.3780
0.027220,0.3866
0.027396,0.3952
0.027572,0.4034
0.027747,0.4120
0.027923,0.4184
0.028098,0.4266
0.028274,0.4343
0.028450,0.4428
0.028625,0.4497
0.028801,0.4566
0.028976,0.4648
0.029152,0.4717
0.029328,0.4780
0.029503,0.4853
0.029679,0.4908
0.029854,0.4964
0.030030,0.5034
0.030206,0.5093
0.030381,0.5162
0.030557,0.5231
0.030733,0.5283
0.030908,0.5347
0.031084,0.5412
0.031259,0.5474
0.031435,0.5539
0.031611,0.5602
0.031786,0.5652
0.031962,0.5698
0.032137,0.5746
0.032313,0.5802
0.032489,0.5857
0.032664,0.5910
0.032840,0.5984
0.033016,0.6041
0.033191,0.6103
0.033367,0.6161
0.033542,0.6186
0.033718,0.6235
0.033894,0.6284
0.034069,0.6338
0.034245,0.6399
0.034420,0.6490
0.034596,0.6553
0.034772,0.6623
0.034947,0.6682
0.035123,0.6735
0.035299,0.6804
0.035474,0.6850
0.035650,0.6890
0.035825,0.6923
0.036001,0.6972
0.036177,0.7040
0.036352,0.7088
0.036528,0.7123
0.036703,0.7184
0.036879,0.7227
0.037055,0.7235
0.037230,0.7282
0.037406,0.7353
0.037582,0.7386
0.037757,0.7438
0.037933,0.7471
0.038108,0.7498
0.038284,0.7528
0.038460,0.7580
0.038635,0.7622
0.038811,0.7674
0.038986,0.7733
0.039162,0.7777
0.039338,0.7815
0.039513,0.7854
0.039689,0.7895
0.039865,0.7941
0.040040,0.7974
0.040216,0.8019
0.040391,0.8055
0.040567,0.8093
0.040743,0.8134
0.040918,0.8185
0.041094,0.8220
0.041269,0.8266
0.041445,0.8310
0.041621,0.8355
0.041796,0.8398
0.041972,0.8441
0.042148,0.8493
0.042323,0.8531
0.042499,0.8572
0.042674,0.8604
0.042850,0.8639
0.043026,0.8741
0.043201,0.8771
0.043377,0.8790
0.043552,0.8812
0.043728,0.8841
0.043904,0.8787
0.044079,0.8822
0.044255,0.8849
0.044431,0.8869
0.044606,0.8896
0.044782,0.8915
0.044957,0.8943
0.045133,0.8967
0.045309,0.9014
0.045484,0.9032
0.045660,0.9061
0.045835,0.9087
0.046011,0.9120
0.046187,0.9139
0.046362,0.9170
0.046538,0.9211
0.046713,0.9223
0.046889,0.9237
0.047065,0.9257
0.047240,0.9275
0.047416,0.9269
0.047592,0.9295
0.047767,0.9326
0.047943,0.9377
0.048118,0.9416
0.048294,0.9459
0.048470,0.9499
0.048645,0.9530
0.048821,0.9530
0.048996,0.9560
0.049172,0.9590
0.049348,0.9603
0.049523,0.9630
0.049699,0.9656
0.049875,0.9677
0.050050,0.9701
0.050226,0.9724
0.050401,0.9745
0.050577,0.9725
0.050753,0.9748
0.050928,0.9769
0.051104,0.9795
0.051279,0.9822
0.051455,0.9896
0.051631,0.9927
0.051806,0.9954
0.051982,0.9980
0.052158,0.9997
0.052333,0.9985
0.052509,1.0004
0.052684,1.0024
0.052860,1.0040
0.053036,1.0070
0.053211,1.0124
0.053387,1.0132
0.053562,1.0152
0.053738,1.0183
0.053914,1.0203
0.054089,1.0225
0.054265,1.0253
0.054441,1.0291
0.054616,1.0309
0.054792,1.0323
