Tempo (s),Tensao (V)
0.000000,0.2498
0.000176,0.2530
0.000351,0.2530
0.000527,0.2555
0.000702,0.2563
0.000878,0.2522
0.001053,0.2563
0.001229,0.2522
0.001404,0.2547
0.001580,0.2611
0.001755,0.2538
0.001931,0.2555
0.002106,0.2538
0.002282,0.2538
0.002457,0.2538
0.002633,0.2563
0.002809,0.2563
0.002984,0.2595
0.003160,0.2611
0.003335,0.2603
0.003511,0.2651
0.003686,0.2538
0.003862,0.2692
0.004037,0.2587
0.004213,0.2635
0.004388,0.2659
0.004564,0.2595
0.004739,0.2627
0.004915,0.2426
0.005090,0.2627
0.005266,0.2667
0.005441,0.2579
0.005617,0.2530
0.005793,0.2611
0.005968,0.2240
0.006144,0.2619
0.006319,0.2579
0.006495,0.2232
0.006670,0.2555
0.006846,0.2514
0.007021,0.2643
0.007197,0.2643
0.007372,0.2514
0.007548,0.2563
0.007723,0.2514
0.007899,0.2555
0.008074,0.2522
0.008250,0.2530
0.008426,0.2490
0.008601,0.2530
0.008777,0.2530
0.008952,0.2490
0.009128,0.2482
0.009303,0.2466
0.009479,0.2490
0.009654,0.2490
0.009830,0.2490
0.010005,0.2410
0.010181,0.2498
0.010356,0.2466
0.010532,0.2514
0.010707,0.2506
0.010883,0.2490
0.011059,0.2522
0.011234,0.2482
0.011410,0.2458
0.011585,0.2482
0.011761,0.2490
0.011936,0.2482
0.012112,0.2514
0.012287,0.2321
0.012463,0.2530
0.012638,0.2506
0.012814,0.2474
0.012989,0.2490
0.013165,0.2482
0.013340,0.2579
0.013516,0.2547
0.013691,0.2837
0.013867,0.2611
0.014043,0.2555
0.014218,0.2522
0.014394,0.2538
0.014569,0.2611
0.014745,0.2555
0.014920,0.2506
0.015096,0.2530
0.015271,0.2522
0.015447,0.2555
0.015622,0.2555
0.015798,0.2522
0.015973,0.2563
0.016149,0.2571
0.016324,0.2538
0.016500,0.2595
0.016676,0.2547
0.016851,0.2579
0.017027,0.2571
0.017202,0.2547
0.017378,0.2579
0.017553,0.2538
0.017729,0.2595
0.017904,0.2643
0.018080,0.2627
0.018255,0.2651
0.018431,0.2837
0.018606,0.2538
0.018782,0.2627
0.018957,0.2651
0.019133,0.2611
0.019309,0.2684
0.019484,0.2571
0.019660,0.2611
0.019835,0.2297
0.020011,0.2869
0.020186,0.2603
0.020362,0.2587
0.020537,0.2289
0.020713,0.2635
0.020888,0.2530
0.021064,0.2579
0.021239,0.2555
0.021415,0.2611
0.021590,0.2538
0.021766,0.2659
0.021941,0.3014
0.022117,0.2547
0.022293,0.2522
0.022468,0.2547
0.022644,0.2434
0.022819,0.2482
0.022995,0.2514
0.023170,0.2514
0.023346,0.2482
0.023521,0.2498
0.023697,0.2514
0.023872,0.2426
0.024048,0.2482
0.024223,0.2208
0.024399,0.2474
0.024574,0.2466
0.024750,0.2474
0.024926,0.2498
0.025101,0.2490
0.025277,0.2498
0.025452,0.2490
0.025628,0.2506
0.025803,0.2474
0.025979,0.2458
0.026154,0.2490
0.026330,0.2490
0.026505,0.2514
0.026681,0.2498
0.026856,0.2450
0.027032,0.2418
0.027207,0.2474
0.027383,0.2555
0.027559,0.2587
0.027734,0.2490
0.027910,0.2522
0.028085,0.2418
0.028261,0.2530
0.028436,0.2490
0.028612,0.2538
0.028787,0.2498
0.028963,0.2692
0.029138,0.2466
0.029314,0.2611
0.029489,0.2530
0.029665,0.2522
0.029840,0.2563
0.030016,0.2530
0.030191,0.2547
0.030367,0.2498
0.030543,0.2571
0.030718,0.2538
0.030894,0.2482
0.031069,0.2611
0.031245,0.2530
0.031420,0.2555
0.031596,0.2579
0.031771,0.2538
0.031947,0.2418
0.032122,0.2579
0.032298,0.2571
0.032473,0.2692
0.032649,0.2603
0.032824,0.2619
0.033000,0.2684
0.033176,0.2740
0.033351,0.2619
0.033527,0.2772
0.033702,0.2611
0.033878,0.2700
0.034053,0.2619
0.034229,0.2587
0.034404,0.2555
0.034580,0.2442
0.034755,0.2667
0.034931,0.2933
0.035106,0.2587
0.035282,0.2611
0.035457,0.2780
0.035633,0.2337
0.035809,0.0000
0.035984,0.0000
0.036160,0.0000
0.036335,0.0000
0.036511,0.0000
0.036686,0.0000
0.036862,0.0000
0.037037,0.0000
0.037213,0.0000
0.037388,0.0000
0.037564,0.0000
0.037739,0.0000
0.037915,0.0000
0.038090,0.0000
0.038266,0.0000
0.038441,0.0000
0.038617,0.0000
0.038793,0.0000
0.038968,0.0000
0.039144,0.0000
0.039319,0.0000
0.039495,0.0000
0.039670,0.0000
0.039846,0.0000
0.040021,0.0000
0.040197,0.0000
0.040372,0.0000
0.040548,0.0000
0.040723,0.0000
0.040899,0.0000
0.041074,0.0000
0.041250,0.0000
0.041426,0.0000
0.041601,0.0000
0.041777,0.0000
0.041952,0.0000
0.042128,0.0000
0.042303,0.0000
0.042479,0.0000
0.042654,0.0000
0.042830,0.0000
0.043005,0.0000
0.043181,0.0000
0.043356,0.0000
0.043532,0.0000
0.043707,0.0000
0.043883,0.0000
0.044059,0.0000
0.044234,0.0000
0.044410,0.0000
0.044585,0.0000
0.044761,0.0000
0.044936,0.0000
0.045112,0.0000
0.045287,0.0000
0.045463,0.0000
0.045638,0.0000
0.045814,0.0000
0.045989,0.0000
0.046165,0.0000
0.046340,0.0000
0.046516,0.0000
0.046691,0.0000
0.046867,0.0000
0.047043,0.0000
0.047218,0.0000
0.047394,0.0000
0.047569,0.0000
0.047745,0.0000
0.047920,0.0000
0.048096,0.0000
0.048271,0.0000
0.048447,0.0000
0.048622,0.0000
0.048798,0.0000
0.048973,0.0000
0.049149,0.0000
0.049324,0.0000
0.049500,0.0000
0.049676,0.0000
0.049851,0.0000
0.050027,0.0000
0.050202,0.0000
0.050378,0.0000
0.050553,0.0000
0.050729,0.0000
0.050904,0.0000
0.051080,0.0000
0.051255,0.0000
0.051431,0.0000
0.051606,0.0000
0.051782,0.0000
0.051957,0.0000
0.052133,0.0000
0.052309,0.0000
0.052484,0.0000
0.052660,0.0000
0.052835,0.0000
0.053011,0.0000
0.053186,0.0000
0.053362,0.0000
0.053537,0.0000
0.053713,0.0000
0.053888,0.0000
0.054064,0.0000
0.054239,0.0000
0.054415,0.0000
0.054590,0.0000
0.054766,0.0000
0.054941,0.0000
0.055117,0.0000
0.055293,0.0000
0.055468,0.0000
0.055644,0.0000
0.055819,0.0000
0.055995,0.0000
0.056170,0.0000
0.056346,0.0000
0.056521,0.0000
0.056697,0.0000
0.056872,0.0000
0.057048,0.0000
0.057223,0.0000
0.057399,0.0000
0.057574,0.0000
0.057750,0.0000
0.057926,0.0000
0.058101,0.0000
0.058277,0.0000
0.058452,0.0000
0.058628,0.0000
0.058803,0.0000
0.058979,0.0000
0.059154,0.0000
0.059330,0.0000
0.059505,0.0000
0.059681,0.0000
0.059856,0.0000
0.060032,0.0000
0.060207,0.0000
0.060383,0.0000
0.060559,0.0000
0.060734,0.0000
0.060910,0.0000
0.061085,0.0000
0.061261,0.0000
0.061436,0.0000
0.061612,0.0000
0.061787,0.0000
0.061963,0.0000
0.062138,0.0000
0.062314,0.0000
0.062489,0.0000
0.062665,0.0000
0.062840,0.0000
0.063016,0.0000
0.063191,0.0000
0.063367,0.0000
0.063543,0.0000
0.063718,0.0000
0.063894,0.0000
0.064069,0.0000
0.064245,0.0000
0.064420,0.0000
0.064596,0.0000
0.064771,0.0000
0.064947,0.0000
0.065122,0.0000
0.065298,0.0000
0.065473,0.0000
0.065649,0.0000
0.065824,0.0000
0.066000,0.0000
0.066176,0.0000
0.066351,0.0000
0.066527,0.0000
0.066702,0.0000
0.066878,0.0000
0.067053,0.0000
0.067229,0.0000
0.067404,0.0000
0.067580,0.0000
0.067755,0.0000
0.067931,0.0000
0.068106,0.0000
0.068282,0.0000
0.068457,0.0000
0.068633,0.0000
0.068809,0.0000
0.068984,0.0000
