Tempo (s);Tensao (V)
0.00000;0.00000
0.00018;0.00000
0.00035;0.00000
0.00053;0.00000
0.00070;0.00000
0.00088;0.00000
0.00105;0.00000
0.00123;0.00000
0.00140;0.00000
0.00158;0.00000
0.00176;0.00000
0.00193;0.00000
0.00211;0.00000
0.00228;0.00000
0.00246;0.00000
0.00263;0.00000
0.00281;0.00000
0.00298;0.00000
0.00316;0.00000
0.00334;0.00000
0.00351;0.00000
0.00369;0.00000
0.00386;0.00000
0.00404;0.00000
0.00421;0.00000
0.00439;0.00000
0.00456;0.00000
0.00474;0.00000
0.00491;0.00000
0.00509;0.00000
0.00527;0.00000
0.00544;0.00000
0.00562;0.00000
0.00579;0.00000
0.00597;0.00000
0.00614;0.00000
0.00632;0.00000
0.00649;0.00000
0.00667;0.00000
0.00685;0.00000
0.00702;0.00000
0.00720;0.00000
0.00737;0.00000
0.00755;0.00000
0.00772;0.00000
0.00790;0.00000
0.00807;0.00000
0.00825;0.00000
0.00843;0.00000
0.00860;0.00000
0.00878;0.00000
0.00895;0.00000
0.00913;0.00000
0.00930;0.00000
0.00948;0.00000
0.00965;0.00000
0.00983;0.00000
0.01001;0.00000
0.01018;0.00000
0.01036;0.00000
0.01053;0.00000
0.01071;0.00000
0.01088;0.00000
0.01106;0.00000
0.01123;0.00000
0.01141;0.00000
0.01158;0.00000
0.01176;0.00000
0.01194;0.00000
0.01211;0.00000
0.01229;0.00000
0.01246;0.00000
0.01264;0.00000
0.01281;0.00000
0.01299;0.00000
0.01316;0.00000
0.01334;0.00000
0.01352;0.00000
0.01369;0.00000
0.01387;0.00000
0.01404;0.00000
0.01422;0.00000
0.01439;0.00000
0.01457;0.00000
0.01474;0.00000
0.01492;0.00000
0.01510;0.00000
0.01527;0.00000
0.01545;0.00000
0.01562;0.00000
0.01580;0.00000
0.01597;0.00000
0.01615;0.00000
0.01632;0.00000
0.01650;0.00000
0.01668;0.00000
0.01685;0.00000
0.01703;0.00000
0.01720;0.00000
0.01738;0.00000
0.01755;0.00000
0.01773;0.00000
0.01790;0.00000
0.01808;0.00000
0.01826;0.00000
0.01843;0.00000
0.01861;0.00000
0.01878;0.00000
0.01896;0.00000
0.01913;0.00000
0.01931;0.00000
0.01948;0.00000
0.01966;0.00000
0.01983;0.00000
0.02001;0.00000
0.02019;0.00000
0.02036;0.00000
0.02054;0.00000
0.02071;0.00000
0.02089;0.00000
0.02106;0.00000
0.02124;0.00000
0.02141;0.00000
0.02159;0.00000
0.02177;0.00000
0.02194;0.00000
0.02212;0.00000
0.02229;0.00000
0.02247;0.00000
0.02264;0.00000
0.02282;0.00000
0.02299;0.00000
0.02317;0.00000
0.02335;0.00000
0.02352;0.00000
0.02370;0.00000
0.02387;0.00584
0.02405;0.11016
0.02422;0.22800
0.02440;0.34787
0.02457;0.47034
0.02475;0.58882
0.02493;0.61024
0.02510;0.62164
0.02528;0.63280
0.02545;0.64310
0.02563;0.65504
0.02580;0.66602
0.02598;0.67551
0.02615;0.68516
0.02633;0.69427
0.02650;0.70346
0.02668;0.71194
0.02686;0.72318
0.02703;0.73190
0.02721;0.74252
0.02738;0.75630
0.02756;0.76442
0.02773;0.77119
0.02791;0.78060
0.02808;0.78904
0.02826;0.79168
0.02844;0.80318
0.02861;0.81140
0.02879;0.81960
0.02896;0.82667
0.02914;0.83461
0.02931;0.84027
0.02949;0.84865
0.02966;0.85601
0.02984;0.86324
0.03002;0.87069
0.03019;0.88145
0.03037;0.88848
0.03054;0.89547
0.03072;0.90204
0.03089;0.90873
0.03107;0.91306
0.03124;0.91963
0.03142;0.92676
0.03160;0.93458
0.03177;0.94193
0.03195;0.94824
0.03212;0.95474
0.03230;0.96131
0.03247;0.96661
0.03265;0.97292
0.03282;0.97995
0.03300;0.98635
0.03318;0.99226
0.03335;0.99985
0.03353;1.00541
0.03370;1.01125
0.03388;1.01607
0.03405;1.02181
0.03423;1.02570
0.03440;1.03386
0.03458;1.03962
0.03475;1.04657
0.03493;1.05203
0.03511;1.05910
0.03528;1.06251
0.03546;1.06497
0.03563;1.07047
0.03581;1.07595
0.03598;1.08145
0.03616;1.08533
0.03633;1.09228
0.03651;1.09662
0.03669;1.10145
0.03686;1.10572
0.03704;1.11195
0.03721;1.11797
0.03739;1.12277
0.03756;1.12720
0.03774;1.13179
0.03791;1.13653
0.03809;1.14104
0.03827;1.14565
0.03844;1.15170
0.03862;1.15754
0.03879;1.16296
0.03897;1.16725
0.03914;1.17255
0.03932;1.17603
0.03949;1.18016
0.03967;1.18409
0.03985;1.18893
0.04002;1.19429
0.04020;1.19936
0.04037;1.20367
0.04055;1.20764
0.04072;1.21133
0.04090;1.21328
0.04107;1.21812
0.04125;1.22112
0.04142;1.22394
0.04160;1.22656
0.04178;1.22628
0.04195;1.22789
0.04213;1.23142
0.04230;1.23641
0.04248;1.24064
0.04265;1.24775
0.04283;1.24969
0.04300;1.25346
0.04318;1.25620
0.04336;1.25984
0.04353;1.26204
0.04371;1.26847
0.04388;1.27203
0.04406;1.27552
0.04423;1.27914
0.04441;1.28406
0.04458;1.28654
0.04476;1.28893
0.04494;1.29157
0.04511;1.29526
0.04529;1.29983
0.04546;1.30328
0.04564;1.30682
0.04581;1.31061
0.04599;1.31373
0.04616;1.31680
0.04634;1.31927
0.04652;1.32324
0.04669;1.32725
0.04687;1.33102
0.04704;1.33382
0.04722;1.33497
0.04739;1.33521
0.04757;1.33739
0.04774;1.33972
0.04792;1.34258
0.04809;1.34980
0.04827;1.35302
0.04845;1.35753
0.04862;1.36066
0.04880;1.36608
0.04897;1.36755
0.04915;1.37333
0.04932;1.37552
0.04950;1.37903
0.04967;1.37979
0.04985;1.38457
0.05003;1.38691
0.05020;1.38977
0.05038;1.39198
0.05055;1.39625
0.05073;1.39799
0.05090;1.40127
0.05108;1.40466
0.05125;1.40709
0.05143;1.40901
0.05161;1.41058
0.05178;1.41320
0.05196;1.41439
0.05213;1.41709
0.05231;1.41852
0.05248;1.42112
0.05266;1.42295
0.05283;1.42595
0.05301;1.42833
0.05319;1.43242
0.05336;1.43566
0.05354;1.43508
0.05371;1.44017
0.05389;1.44388
0.05406;1.45200
0.05424;1.45647
0.05441;1.46389
0.05459;1.46808
0.05477;1.47035
0.05494;1.46836
0.05512;1.46955
0.05529;1.47213
0.05547;1.47511
0.05564;1.47360
0.05582;1.47267
0.05599;1.47265
0.05617;1.47368
0.05634;1.47269
0.05652;1.47865
0.05670;1.48129
0.05687;1.48397
0.05705;1.48534
0.05722;1.48538
0.05740;1.48204
0.05757;1.48317
0.05775;1.48419
0.05792;1.48629
0.05810;1.48794
0.05828;1.49443
0.05845;1.49719
0.05863;1.50049
0.05880;1.50279
0.05898;1.50418
0.05915;1.50648
0.05933;1.50811
0.05950;1.50930
0.05968;1.51155
0.05986;1.51369
0.06003;1.51524
0.06021;1.51744
0.06038;1.51931
0.06056;1.52003
0.06073;1.52223
0.06091;1.52394
0.06108;1.52600
0.06126;1.52523
0.06144;1.52803
0.06161;1.52866
0.06179;1.53065
0.06196;1.53255
0.06214;1.53954
0.06231;1.54064
0.06249;1.54349
0.06266;1.54538
0.06284;1.54610
0.06301;1.55084
0.06319;1.55606
0.06337;1.55944
0.06354;1.56230
0.06372;1.56752
0.06389;1.56115
0.06407;1.56210
0.06424;1.56387
0.06442;1.56496
0.06459;1.56567
0.06477;1.57145
0.06495;1.57179
0.06512;1.57405
0.06530;1.57582
0.06547;1.57777
0.06565;1.57963
0.06582;1.58078
0.06600;1.58201
0.06617;1.58460
0.06635;1.58505
0.06653;1.58656
0.06670;1.58793
0.06688;1.58892
0.06705;1.58942
0.06723;1.59125
0.06740;1.59232
0.06758;1.59530
0.06775;1.59814
0.06793;1.60086
0.06811;1.60205
0.06828;1.60515
0.06846;1.60860
0.06863;1.60916
0.06881;1.61073
0.06898;1.61333
0.06916;1.61497
0.06933;1.61466
0.06951;1.61632
0.06969;1.62194
0.06986;1.62478
0.07004;1.62530
0.07021;1.62574
0.07039;1.62675
0.07056;1.62349
0.07074;1.62476
0.07091;1.62637
0.07109;1.62832
0.07126;1.63112
0.07144;1.63215
0.07162;1.63217
0.07179;1.63334
0.07197;1.63475
0.07214;1.63382
0.07232;1.63477
0.07249;1.63576
0.07267;1.63537
0.07284;1.63594
0.07302;1.63727
0.07320;1.63868
0.07337;1.63819
0.07355;1.64079
0.07372;1.64122
0.07390;1.64242
0.07407;1.64017
0.07425;1.64396
0.07442;1.64478
0.07460;1.64764
0.07478;1.64978
0.07495;1.65395
0.07513;1.65385
0.07530;1.65508
0.07548;1.65618
0.07565;1.65649
0.07583;1.65782
0.07600;1.65876
0.07618;1.65947
0.07636;1.66048
0.07653;1.66227
0.07671;1.66289
0.07688;1.66864
0.07706;1.67039
0.07723;1.67228
0.07741;1.67317
0.07758;1.67530
0.07776;1.67317
0.07793;1.67432
0.07811;1.67456
0.07829;1.67629
0.07846;1.67784
0.07864;1.67877
0.07881;1.68137
0.07899;1.68294
0.07916;1.68449
0.07934;1.68649
0.07951;1.68777
0.07969;1.68798
