Tempo (s);Tensao (V)
0.00000;0.00000
0.00018;0.00000
0.00035;0.00000
0.00053;0.00000
0.00070;0.00000
0.00088;0.00000
0.00105;0.00000
0.00123;0.00000
0.00140;0.00000
0.00158;0.00000
0.00176;0.00000
0.00193;0.00000
0.00211;0.00000
0.00228;0.00000
0.00246;0.00000
0.00263;0.00000
0.00281;0.00000
0.00298;0.00000
0.00316;0.00000
0.00334;0.00000
0.00351;0.00000
0.00369;0.00000
0.00386;0.00000
0.00404;0.00000
0.00421;0.00000
0.00439;0.00000
0.00456;0.00000
0.00474;0.00000
0.00491;0.00000
0.00509;0.00000
0.00527;0.00000
0.00544;0.00000
0.00562;0.00000
0.00579;0.00000
0.00597;0.00000
0.00614;0.00000
0.00632;0.00000
0.00649;0.00000
0.00667;0.00000
0.00685;0.00000
0.00702;0.00000
0.00720;0.00000
0.00737;0.00000
0.00755;0.00000
0.00772;0.00000
0.00790;0.00000
0.00807;0.00000
0.00825;0.00000
0.00843;0.00000
0.00860;0.00000
0.00878;0.00000
0.00895;0.00000
0.00913;0.00000
0.00930;0.00000
0.00948;0.00000
0.00965;0.00000
0.00983;0.00000
0.01001;0.00000
0.01018;0.00000
0.01036;0.00000
0.01053;0.00000
0.01071;0.00000
0.01088;0.00000
0.01106;0.00000
0.01123;0.00000
0.01141;0.00000
0.01158;0.00000
0.01176;0.00000
0.01194;0.00000
0.01211;0.00000
0.01229;0.00000
0.01246;0.00000
0.01264;0.00000
0.01281;0.00000
0.01299;0.00000
0.01316;0.00000
0.01334;0.00000
0.01352;0.00000
0.01369;0.00000
0.01387;0.00000
0.01404;0.00000
0.01422;0.00000
0.01439;0.00000
0.01457;0.00000
0.01474;0.00000
0.01492;0.00000
0.01510;0.00000
0.01527;0.00000
0.01545;0.00000
0.01562;0.00000
0.01580;0.00000
0.01597;0.00000
0.01615;0.00000
0.01632;0.00000
0.01650;0.00000
0.01668;0.00000
0.01685;0.00000
0.01703;0.00000
0.01720;0.00000
0.01738;0.00000
0.01755;0.00000
0.01773;0.00000
0.01790;0.00000
0.01808;0.00000
0.01826;0.00000
0.01843;0.00000
0.01861;0.00000
0.01878;0.00000
0.01896;0.00000
0.01913;0.00000
0.01931;0.00000
0.01948;0.00000
0.01966;0.00000
0.01983;0.00000
0.02001;0.00000
0.02019;0.00000
0.02036;0.00000
0.02054;0.00000
0.02071;0.00000
0.02089;0.00000
0.02106;0.00000
0.02124;0.00000
0.02141;0.00000
0.02159;0.00000
0.02177;0.00000
0.02194;0.00000
0.02212;0.00000
0.02229;0.00000
0.02247;0.00000
0.02264;0.00000
0.02282;0.00000
0.02299;0.00000
0.02317;0.00000
0.02335;0.00000
0.02352;0.00000
0.02370;0.00000
0.02387;0.00000
0.02405;0.00000
0.02422;0.00000
0.02440;0.00000
0.02457;0.00000
0.02475;0.00000
0.02493;0.04264
0.02510;0.11057
0.02528;0.22821
0.02545;0.34981
0.02563;0.46547
0.02580;0.54880
0.02598;0.60924
0.02615;0.62289
0.02633;0.63426
0.02650;0.65367
0.02668;0.66490
0.02686;0.67662
0.02703;0.68704
0.02721;0.69702
0.02738;0.70264
0.02756;0.71289
0.02773;0.72053
0.02791;0.72982
0.02808;0.73835
0.02826;0.75098
0.02844;0.75818
0.02861;0.76773
0.02879;0.77488
0.02896;0.78290
0.02914;0.79089
0.02931;0.79920
0.02949;0.80759
0.02966;0.81623
0.02984;0.82217
0.03002;0.83099
0.03019;0.84020
0.03037;0.84626
0.03054;0.85476
0.03072;0.86558
0.03089;0.87203
0.03107;0.87900
0.03124;0.88783
0.03142;0.89412
0.03160;0.90297
0.03177;0.91117
0.03195;0.91818
0.03212;0.92523
0.03230;0.93293
0.03247;0.93904
0.03265;0.94597
0.03282;0.95292
0.03300;0.95949
0.03318;0.96530
0.03335;0.97053
0.03353;0.98051
0.03370;0.98713
0.03388;0.99283
0.03405;0.99915
0.03423;1.00645
0.03440;1.00916
0.03458;1.01244
0.03475;1.01874
0.03493;1.02430
0.03511;1.02925
0.03528;1.03525
0.03546;1.04857
0.03563;1.05471
0.03581;1.06072
0.03598;1.06691
0.03616;1.07250
0.03633;1.07265
0.03651;1.07781
0.03669;1.08357
0.03686;1.08795
0.03704;1.09291
0.03721;1.09801
0.03739;1.10367
0.03756;1.11252
0.03774;1.11794
0.03791;1.12327
0.03809;1.13116
0.03827;1.13585
0.03844;1.13808
0.03862;1.14374
0.03879;1.15118
0.03897;1.15652
0.03914;1.16098
0.03932;1.16522
0.03949;1.16961
0.03967;1.17144
0.03985;1.17264
0.04002;1.18021
0.04020;1.18387
0.04037;1.18847
0.04055;1.19226
0.04072;1.19689
0.04090;1.19787
0.04107;1.20266
0.04125;1.20711
0.04142;1.21106
0.04160;1.21513
0.04178;1.21973
0.04195;1.22157
0.04213;1.22464
0.04230;1.22843
0.04248;1.23188
0.04265;1.23807
0.04283;1.24382
0.04300;1.24756
0.04318;1.25185
0.04336;1.25570
0.04353;1.25579
0.04371;1.25817
0.04388;1.26228
0.04406;1.26792
0.04423;1.27152
0.04441;1.27513
0.04458;1.27938
0.04476;1.28209
0.04494;1.28216
0.04511;1.28544
0.04529;1.28948
0.04546;1.29070
0.04564;1.29348
0.04581;1.29765
0.04599;1.30044
0.04616;1.30385
0.04634;1.30932
0.04652;1.31257
0.04669;1.31541
0.04687;1.31874
0.04704;1.32126
0.04722;1.32338
0.04739;1.32691
0.04757;1.33015
0.04774;1.33348
0.04792;1.33573
0.04809;1.33956
0.04827;1.34185
0.04845;1.34473
0.04862;1.34669
0.04880;1.35377
0.04897;1.35641
0.04915;1.35980
0.04932;1.36249
0.04950;1.36600
0.04967;1.36485
0.04985;1.36824
0.05003;1.37143
0.05020;1.37507
0.05038;1.37761
0.05055;1.38250
0.05073;1.38535
0.05090;1.38925
0.05108;1.39235
0.05125;1.39636
0.05143;1.39823
0.05161;1.40094
0.05178;1.40287
0.05196;1.40443
0.05213;1.40348
0.05231;1.40589
0.05248;1.40768
0.05266;1.40793
0.05283;1.41251
0.05301;1.41988
0.05319;1.42335
0.05336;1.42745
0.05354;1.43251
0.05371;1.43466
0.05389;1.43600
0.05406;1.44162
0.05424;1.44466
0.05441;1.44762
0.05459;1.44986
0.05477;1.45056
0.05494;1.44923
0.05512;1.45137
0.05529;1.45337
0.05547;1.45594
0.05564;1.46288
0.05582;1.46608
0.05599;1.46810
0.05617;1.47077
0.05634;1.47207
0.05652;1.47141
0.05670;1.47386
0.05687;1.47504
0.05705;1.47682
0.05722;1.47977
0.05740;1.48133
0.05757;1.48356
0.05775;1.48620
0.05792;1.48888
0.05810;1.48997
0.05828;1.49280
0.05845;1.49423
0.05863;1.49635
0.05880;1.49785
0.05898;1.50128
0.05915;1.50315
0.05933;1.50464
0.05950;1.50732
0.05968;1.50980
0.05986;1.51038
0.06003;1.51291
0.06021;1.51582
0.06038;1.51732
0.06056;1.51829
0.06073;1.52120
0.06091;1.52361
0.06108;1.52484
0.06126;1.52682
0.06144;1.52909
0.06161;1.53078
0.06179;1.53058
0.06196;1.53271
0.06214;1.53445
0.06231;1.53631
0.06249;1.53827
0.06266;1.54143
0.06284;1.54283
0.06301;1.54435
0.06319;1.54654
0.06337;1.54816
0.06354;1.55061
0.06372;1.55260
0.06389;1.55561
0.06407;1.55702
0.06424;1.55931
0.06442;1.56099
0.06459;1.56364
0.06477;1.56504
0.06495;1.56703
0.06512;1.56879
0.06530;1.56958
0.06547;1.57118
0.06565;1.57336
0.06582;1.57606
0.06600;1.57798
0.06617;1.58048
0.06635;1.58298
0.06653;1.58310
0.06670;1.58475
0.06688;1.58720
0.06705;1.58890
0.06723;1.58951
0.06740;1.59336
0.06758;1.59645
0.06775;1.59740
0.06793;1.59918
0.06811;1.60151
0.06828;1.60214
0.06846;1.60198
0.06863;1.60332
0.06881;1.60420
0.06898;1.60519
0.06916;1.60604
0.06933;1.60823
0.06951;1.61153
0.06969;1.61271
0.06986;1.61307
0.07004;1.61516
0.07021;1.61529
0.07039;1.61610
0.07056;1.61790
0.07074;1.62090
0.07091;1.62112
0.07109;1.62183
0.07126;1.62251
0.07144;1.62308
0.07162;1.62363
0.07179;1.62437
0.07197;1.62682
0.07214;1.62889
0.07232;1.63125
0.07249;1.63247
0.07267;1.63464
0.07284;1.63478
0.07302;1.63355
0.07320;1.63314
0.07337;1.63435
0.07355;1.63613
0.07372;1.63703
0.07390;1.63824
0.07407;1.63872
0.07425;1.64079
0.07442;1.63586
0.07460;1.63696
0.07478;1.63783
0.07495;1.63680
0.07513;1.63675
0.07530;1.64388
0.07548;1.64491
0.07565;1.64679
0.07583;1.65213
0.07600;1.65221
0.07618;1.65359
0.07636;1.65446
0.07653;1.65506
0.07671;1.65584
0.07688;1.65866
0.07706;1.65885
0.07723;1.66167
0.07741;1.66393
0.07758;1.66572
0.07776;1.66586
0.07793;1.66712
0.07811;1.66843
0.07829;1.66938
0.07846;1.66962
0.07864;1.67198
0.07881;1.67326
0.07899;1.67472
0.07916;1.67557
0.07934;1.67785
0.07951;1.67794
0.07969;1.68021
